metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,4,-0.129006053011001
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,32,-0.002833957224717692
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,2,0.1217540113129219
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,16,-0.022318703402801104
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,96,0.05694921075060883
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,8,-0.17325300050985465
seuclidean,TabulaMuris_Tongue_FACS,counts,spca,48,-0.014726501271277758
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,4,-0.12027968748687881
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,32,-0.010451888522624152
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,2,0.1403986888139658
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,16,-0.0496081854488181
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,96,0.017865182177204026
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,8,-0.13303274002088347
seuclidean,TabulaMuris_Tongue_FACS,counts,tsvd,48,-0.032454005536975764
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,4,0.01611701789052999
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,32,-0.025329915125225172
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,2,0.11525919890690517
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,16,-0.05492516114078049
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,96,-0.03161464846361458
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,8,-0.04308742244551915
seuclidean,TabulaMuris_Tongue_FACS,counts,spca-batch,48,0.028285478677348017
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,4,0.13354901797232166
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,32,0.37253262457056474
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,2,-0.018007872058823992
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,16,0.29054322408998917
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,8,0.1652333781752452
seuclidean,TabulaMuris_Tongue_FACS,counts,zifa,48,0.39450594490138
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,4,0.017518245842305786
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,32,0.19122085527741814
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,2,0.044287061602370746
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,16,0.055156009126978114
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,96,0.27474064450936514
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,8,0.03770091608927834
seuclidean,TabulaMuris_Tongue_FACS,counts,nsnmf,48,0.20505181593878574
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,4,0.3246469706678428
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,32,0.1385956876212598
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,2,-0.1734938463488644
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,16,0.0925524776759779
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,96,0.2959840848258675
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,8,-0.04390008173429003
seuclidean,TabulaMuris_Tongue_FACS,counts,vpac,48,0.1472020198830787
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,4,-0.08566195044578308
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,32,-0.018765220319624697
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,2,-0.036296966444773926
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,16,-0.027690363512517004
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,96,-0.07327319101860193
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,8,-0.06436535920918166
seuclidean,TabulaMuris_Tongue_FACS,counts,umap,48,-0.007924482363512567
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,4,-0.018979995061742305
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,32,0.04671096356428925
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,2,0.0679484396689479
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,16,-0.06289122646088768
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,96,0.13477885691095173
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,8,-0.06020184787095444
seuclidean,TabulaMuris_Tongue_FACS,counts,nmf2,48,-0.0007983926002898832
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,4,0.04920140909276409
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,32,0.0783413173254386
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,2,0.05475979377483796
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,16,0.16709323311827526
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,96,0.10486318566093619
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,8,0.15629866506172826
seuclidean,TabulaMuris_Tongue_FACS,counts,srp,48,0.11798386308660158
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,4,0.07553645650284846
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,32,0.23858851900355255
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,2,0.15771187303242928
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,16,0.14242283271065181
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,96,0.3631293688123573
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,8,0.13630706464626594
seuclidean,TabulaMuris_Tongue_FACS,counts,psmf,48,0.27009580175786024
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,4,-0.12900577692463933
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,32,-0.010723640119376831
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,2,0.12175416800847885
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,16,-0.024123204970487384
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,96,0.016132943742884993
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,8,-0.17324773739129976
seuclidean,TabulaMuris_Tongue_FACS,counts,fica,48,-0.031226778568237138
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,4,-0.024243329357039035
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,32,-0.11307974557149529
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,2,0.026576599757801366
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,16,-0.1032434567821404
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,96,-0.14369322897441228
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,8,-0.08344203596196748
seuclidean,TabulaMuris_Tongue_FACS,counts,lle,48,-0.1328564131741215
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,4,0.005337531253585044
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,32,-0.014255553060336048
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,2,-3.361720287190916e-05
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,16,0.01120997619966306
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,96,-0.008685305110127889
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,8,-0.009300650588268735
seuclidean,TabulaMuris_Tongue_FACS,counts,lsnmf,48,0.0003357233309763533
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,4,-0.07356971476636745
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,32,-0.0581698819443572
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,2,0.07079526086926417
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,16,-0.079290948784558
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,96,-0.019868350118520773
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,8,-0.0506572645181252
seuclidean,TabulaMuris_Tongue_FACS,counts,phate,48,-0.03370961200989697
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-rbf,4,-0.056682450322274015
seuclidean,TabulaMuris_Tongue_FACS,counts,kpca-rbf,32,-0.04448708365723263
