metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,4,0.012587688754068908
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,32,0.11853937327480368
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,2,0.19736995082013903
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,16,0.05355804162985798
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,96,0.21669296567999283
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,8,-0.012889575062160015
seuclidean,TabulaMuris_Trachea_FACS,counts,spca,48,0.1277304049322671
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,4,0.043601261244387325
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,32,0.1131942168483907
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,2,0.12003305848699532
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,16,0.07032268414821342
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,96,0.16035985409002065
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,8,-0.014554858747360138
seuclidean,TabulaMuris_Trachea_FACS,counts,tsvd,48,0.08983548559139234
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,4,0.22371430056453032
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,32,0.14113905257873013
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,2,0.060545793913539155
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,16,0.24696243241162127
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,96,0.21053716849497064
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,8,0.16069965028046787
seuclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,48,0.19552505379862584
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,4,0.4806349466153373
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,32,0.6443427113854652
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,2,0.3961695684106147
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,16,0.5495903428176153
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,8,0.5851261135896386
seuclidean,TabulaMuris_Trachea_FACS,counts,zifa,48,0.6055753072066922
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,4,0.2851246043635936
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,32,0.5755293109217365
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,2,0.2946530234354852
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,16,0.5081536662999108
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,96,0.5458173992595269
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,8,0.3168432494897001
seuclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,48,0.6457975963236904
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,4,0.22675022834194247
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,32,0.39647872433073234
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,2,0.23025631387836631
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,16,0.3998293801236864
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,96,0.34684687762445704
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,8,0.44549099911709933
seuclidean,TabulaMuris_Trachea_FACS,counts,vpac,48,0.41565931882878726
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,4,0.16141894767831075
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,32,0.16065549194977008
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,2,0.17148516984804138
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,16,0.20764994030533016
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,96,0.02981052968908714
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,8,0.1656006109898845
seuclidean,TabulaMuris_Trachea_FACS,counts,umap,48,0.14683723509226196
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,4,0.1492907302361049
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,32,0.111342128281687
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,2,0.175555086144005
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,16,0.17325393832745992
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,96,0.2825163520657505
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,8,0.12624008748870766
seuclidean,TabulaMuris_Trachea_FACS,counts,nmf2,48,0.26864114935761263
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,4,0.15656459782335153
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,32,0.442145276164927
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,2,0.08813081290908624
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,16,0.213170960290421
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,96,0.362999479877202
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,8,0.25621168948323514
seuclidean,TabulaMuris_Trachea_FACS,counts,srp,48,0.41592679772813795
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,4,0.46797802854689524
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,32,0.5474877616443503
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,2,0.35318234294197137
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,16,0.47167915286477113
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,96,0.6578138719629368
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,8,0.4263395629211034
seuclidean,TabulaMuris_Trachea_FACS,counts,psmf,48,0.5615169588932388
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,4,0.01258908512436595
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,32,0.10460021608256498
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,2,0.19737043213659253
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,16,0.05356282687430775
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,96,0.15669164748952535
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,8,-0.012887426788542117
seuclidean,TabulaMuris_Trachea_FACS,counts,fica,48,0.09640154944324952
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,4,0.41314715456666956
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,32,0.23828977774143528
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,2,0.35259224188691995
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,16,0.325607871750029
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,96,0.07845140380643884
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,8,0.48882798916945397
seuclidean,TabulaMuris_Trachea_FACS,counts,lle,48,0.17107946988744868
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,4,0.012909588497464474
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,32,0.002432183897867879
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,2,0.011463704610285235
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,16,-0.009379361779954092
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,96,-0.006258349774293942
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,8,0.00565972317751398
seuclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,48,-0.0026554777750140168
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,4,0.06756382292303077
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,32,0.05144664412071976
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,2,0.20371130672199286
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,16,0.0005034485260983179
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,96,0.012423596134853812
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,8,0.04048572002190873
seuclidean,TabulaMuris_Trachea_FACS,counts,phate,48,0.002702726324385241
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,4,0.007344259547163352
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,32,-0.0011533535512868666
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,2,0.0018270521883397767
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,16,0.007819418703020468
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,96,0.0012366116592302757
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,8,0.033507671185199234
seuclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,48,-0.00021346102357952431
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,4,0.09561716585117705
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,32,0.10576134564332693
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,2,0.24638374680933212
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,16,0.1675747485117237
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,96,0.04173591925711964
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,8,0.16232430736886258
seuclidean,TabulaMuris_Trachea_FACS,counts,isomap,48,0.06260331362283462
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,4,0.03258052102943673
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,32,0.010723728250520058
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,2,-0.0059369020898630024
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,16,-0.008776355854235019
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,96,0.026945727164302057
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,8,0.015498824655104517
seuclidean,TabulaMuris_Trachea_FACS,counts,saucie,48,-0.024036655499276315
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,4,0.02294930148332313
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,32,0.12467498525542532
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,2,0.08014880072375827
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,16,0.11640969563281287
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,96,0.1649562098867349
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,8,-0.03285427808768623
seuclidean,TabulaMuris_Trachea_FACS,counts,bd,48,0.15491167290815722
seuclidean,TabulaMuris_Trachea_FACS,counts,lda,4,0.17983996456150514
seuclidean,TabulaMuris_Trachea_FACS,counts,lda,32,0.5473945400172239
seuclidean,TabulaMuris_Trachea_FACS,counts,lda,2,0.35615357693433713
