metric,dataset,count,method,dimensions,rho
seuclidean,baron-human,logcounts,spca,4,0.3393206106353492
seuclidean,baron-human,logcounts,spca,32,0.5237476228774725
seuclidean,baron-human,logcounts,spca,2,0.2294460217207348
seuclidean,baron-human,logcounts,spca,16,0.4662524909734457
seuclidean,baron-human,logcounts,spca,96,0.5496534667386618
seuclidean,baron-human,logcounts,spca,8,0.3575794067252469
seuclidean,baron-human,logcounts,spca,48,0.5441364756994985
seuclidean,baron-human,logcounts,tsvd,4,0.27645259606410655
seuclidean,baron-human,logcounts,tsvd,32,0.5193002928322169
seuclidean,baron-human,logcounts,tsvd,2,0.2147406394394156
seuclidean,baron-human,logcounts,tsvd,16,0.4812417440720431
seuclidean,baron-human,logcounts,tsvd,96,0.5601785166072576
seuclidean,baron-human,logcounts,tsvd,8,0.357289416860459
seuclidean,baron-human,logcounts,tsvd,48,0.5506926523370498
seuclidean,baron-human,logcounts,spca-batch,4,0.285258182560985
seuclidean,baron-human,logcounts,spca-batch,32,0.4082250821381031
seuclidean,baron-human,logcounts,spca-batch,2,0.23506928424566695
seuclidean,baron-human,logcounts,spca-batch,16,0.3903993623872759
seuclidean,baron-human,logcounts,spca-batch,96,0.4372873835392172
seuclidean,baron-human,logcounts,spca-batch,8,0.3216911871188603
seuclidean,baron-human,logcounts,spca-batch,48,0.38848949423279144
seuclidean,baron-human,logcounts,zifa,4,0.14914610383375543
seuclidean,baron-human,logcounts,zifa,2,0.14418176985988448
seuclidean,baron-human,logcounts,zifa,16,0.16907321547616913
seuclidean,baron-human,logcounts,zifa,8,0.19578127364398856
seuclidean,baron-human,logcounts,nsnmf,4,0.3388449756773952
seuclidean,baron-human,logcounts,nsnmf,32,0.5296857421828328
seuclidean,baron-human,logcounts,nsnmf,2,0.19110523470269192
seuclidean,baron-human,logcounts,nsnmf,16,0.485517995688489
seuclidean,baron-human,logcounts,nsnmf,96,0.5983053744016845
seuclidean,baron-human,logcounts,nsnmf,8,0.38310811683604484
seuclidean,baron-human,logcounts,nsnmf,48,0.5774500069379723
seuclidean,baron-human,logcounts,vpac,4,0.21587420416260827
seuclidean,baron-human,logcounts,vpac,32,0.30285707619707164
seuclidean,baron-human,logcounts,vpac,2,0.26285388250446273
seuclidean,baron-human,logcounts,vpac,16,0.29671230939755944
seuclidean,baron-human,logcounts,vpac,96,0.5619050728473647
seuclidean,baron-human,logcounts,vpac,8,0.28653847888896156
seuclidean,baron-human,logcounts,vpac,48,0.4306049982669141
seuclidean,baron-human,logcounts,umap,4,0.19744047946720727
seuclidean,baron-human,logcounts,umap,32,0.14249467164564433
seuclidean,baron-human,logcounts,umap,2,0.20680364634702308
seuclidean,baron-human,logcounts,umap,16,0.17483191095091713
seuclidean,baron-human,logcounts,umap,96,0.05508130482098149
seuclidean,baron-human,logcounts,umap,8,0.14414127658805437
seuclidean,baron-human,logcounts,umap,48,0.0731210810702474
seuclidean,baron-human,logcounts,kpca-sig,4,-0.05611757850190785
seuclidean,baron-human,logcounts,kpca-sig,32,-0.17915426433336354
seuclidean,baron-human,logcounts,kpca-sig,2,0.015974938067706192
seuclidean,baron-human,logcounts,kpca-sig,16,-0.0869009312715516
