metric,dataset,count,method,dimensions,rho
seuclidean,darmanis,counts,spca,4,0.27884789794313636
seuclidean,darmanis,counts,spca,32,0.6533164680208278
seuclidean,darmanis,counts,spca,2,0.19659778259064695
seuclidean,darmanis,counts,spca,16,0.6166734727500561
seuclidean,darmanis,counts,spca,96,0.676651384575762
seuclidean,darmanis,counts,spca,8,0.4649044428530108
seuclidean,darmanis,counts,spca,48,0.6648800813232832
seuclidean,darmanis,counts,tsvd,4,0.25650509247789804
seuclidean,darmanis,counts,tsvd,32,0.6509765375141551
seuclidean,darmanis,counts,tsvd,2,0.2403874983516367
seuclidean,darmanis,counts,tsvd,16,0.5914730107231054
seuclidean,darmanis,counts,tsvd,96,0.671584018561971
seuclidean,darmanis,counts,tsvd,8,0.45630060422457636
seuclidean,darmanis,counts,tsvd,48,0.6602336710521868
seuclidean,darmanis,counts,spca-batch,4,0.18849186881386154
seuclidean,darmanis,counts,spca-batch,32,0.40712547269120497
seuclidean,darmanis,counts,spca-batch,2,0.11779752820409212
seuclidean,darmanis,counts,spca-batch,16,0.29067522344262925
seuclidean,darmanis,counts,spca-batch,96,0.5620350594956696
seuclidean,darmanis,counts,spca-batch,8,0.243006030160418
seuclidean,darmanis,counts,spca-batch,48,0.4378123273026204
seuclidean,darmanis,counts,zifa,4,0.5404876668093832
seuclidean,darmanis,counts,zifa,32,0.6911237048566169
seuclidean,darmanis,counts,zifa,2,0.3728977167432515
seuclidean,darmanis,counts,zifa,16,0.6438438081177794
seuclidean,darmanis,counts,zifa,96,0.7057285711618707
seuclidean,darmanis,counts,zifa,8,0.5922938407841716
seuclidean,darmanis,counts,zifa,48,0.6837565059764357
seuclidean,darmanis,counts,tga,4,0.2795671504827683
seuclidean,darmanis,counts,tga,32,0.5644988475856971
seuclidean,darmanis,counts,tga,2,0.2110262275513556
seuclidean,darmanis,counts,tga,16,0.5044707453145654
seuclidean,darmanis,counts,tga,96,0.5883656640124428
seuclidean,darmanis,counts,tga,8,0.4100319522131633
