metric,dataset,count,method,dimensions,rho
seuclidean,darmanis,logcounts,spca,4,0.281756572774483
seuclidean,darmanis,logcounts,spca,32,0.43001452777026405
seuclidean,darmanis,logcounts,spca,2,0.2670619806087481
seuclidean,darmanis,logcounts,spca,16,0.4640790705221133
seuclidean,darmanis,logcounts,spca,96,0.25489335501916816
seuclidean,darmanis,logcounts,spca,8,0.35374770437620884
seuclidean,darmanis,logcounts,spca,48,0.3870317841016049
seuclidean,darmanis,logcounts,tsvd,4,0.28901246546089476
seuclidean,darmanis,logcounts,tsvd,32,0.5009542002260663
seuclidean,darmanis,logcounts,tsvd,2,0.28736913581052576
seuclidean,darmanis,logcounts,tsvd,16,0.5090347260540304
seuclidean,darmanis,logcounts,tsvd,96,0.39524570662466973
seuclidean,darmanis,logcounts,tsvd,8,0.3727608677821743
seuclidean,darmanis,logcounts,tsvd,48,0.4447425034004061
seuclidean,darmanis,logcounts,spca-batch,4,0.3228348597988124
seuclidean,darmanis,logcounts,spca-batch,32,0.4012107982000599
seuclidean,darmanis,logcounts,spca-batch,2,0.316189296833995
seuclidean,darmanis,logcounts,spca-batch,16,0.4045664998317777
seuclidean,darmanis,logcounts,spca-batch,96,0.4160873406553715
seuclidean,darmanis,logcounts,spca-batch,8,0.22701380577922758
seuclidean,darmanis,logcounts,spca-batch,48,0.44334023279935353
seuclidean,darmanis,logcounts,zifa,4,0.2531705483311811
seuclidean,darmanis,logcounts,zifa,32,0.4609871925939533
seuclidean,darmanis,logcounts,zifa,2,0.2516091663209895
seuclidean,darmanis,logcounts,zifa,16,0.5614406564518784
seuclidean,darmanis,logcounts,zifa,96,0.13469779020946734
seuclidean,darmanis,logcounts,zifa,8,0.3243666690802248
seuclidean,darmanis,logcounts,zifa,48,0.4535474679626186
seuclidean,darmanis,logcounts,nsnmf,4,0.45039601160523113
seuclidean,darmanis,logcounts,nsnmf,32,0.6164970072901687
seuclidean,darmanis,logcounts,nsnmf,2,0.3734904456237453
seuclidean,darmanis,logcounts,nsnmf,16,0.5623979560114842
seuclidean,darmanis,logcounts,nsnmf,96,0.6625700412908506
seuclidean,darmanis,logcounts,nsnmf,8,0.53612026737063
seuclidean,darmanis,logcounts,nsnmf,48,0.6516978033481842
seuclidean,darmanis,logcounts,vpac,4,0.12437858764827923
seuclidean,darmanis,logcounts,vpac,32,0.4488597282669498
seuclidean,darmanis,logcounts,vpac,2,0.42151948912970705
seuclidean,darmanis,logcounts,vpac,16,0.2843034826894367
seuclidean,darmanis,logcounts,vpac,96,0.509997689764885
seuclidean,darmanis,logcounts,vpac,8,0.1993774608389728
seuclidean,darmanis,logcounts,vpac,48,0.5260463776196724
seuclidean,darmanis,logcounts,umap,4,0.2532160122492172
