metric,dataset,count,method,dimensions,rho
seuclidean,deng-reads,logcounts,spca,4,0.7935724654846412
seuclidean,deng-reads,logcounts,spca,32,0.7042980741713899
seuclidean,deng-reads,logcounts,spca,2,0.6769704505426634
seuclidean,deng-reads,logcounts,spca,16,0.7638267897352127
seuclidean,deng-reads,logcounts,spca,96,0.3318191879559814
seuclidean,deng-reads,logcounts,spca,8,0.7935027184675273
seuclidean,deng-reads,logcounts,spca,48,0.6313241545244513
seuclidean,deng-reads,logcounts,tsvd,4,0.7950352482471227
seuclidean,deng-reads,logcounts,tsvd,32,0.49039438792153994
seuclidean,deng-reads,logcounts,tsvd,2,0.7915511583840233
seuclidean,deng-reads,logcounts,tsvd,16,0.6287224032745963
seuclidean,deng-reads,logcounts,tsvd,96,0.1388887040005892
seuclidean,deng-reads,logcounts,tsvd,8,0.7652730111057068
seuclidean,deng-reads,logcounts,tsvd,48,0.3773562150652023
seuclidean,deng-reads,logcounts,spca-batch,4,0.7790659008456918
seuclidean,deng-reads,logcounts,spca-batch,32,0.824518841195876
seuclidean,deng-reads,logcounts,spca-batch,2,0.7869866632861536
seuclidean,deng-reads,logcounts,spca-batch,16,0.8249133910531514
seuclidean,deng-reads,logcounts,spca-batch,96,0.5175093331737121
seuclidean,deng-reads,logcounts,spca-batch,8,0.7781623759372016
seuclidean,deng-reads,logcounts,spca-batch,48,0.7773452935968685
seuclidean,deng-reads,logcounts,zifa,4,0.8024973301621457
seuclidean,deng-reads,logcounts,zifa,32,0.5793109290475462
seuclidean,deng-reads,logcounts,zifa,2,0.6986555673081475
seuclidean,deng-reads,logcounts,zifa,16,0.7093234990896198
seuclidean,deng-reads,logcounts,zifa,96,0.14685992856607927
seuclidean,deng-reads,logcounts,zifa,8,0.7354784523510927
seuclidean,deng-reads,logcounts,zifa,48,0.4669733314160724
seuclidean,deng-reads,logcounts,nsnmf,4,0.4950586956615208
seuclidean,deng-reads,logcounts,nsnmf,32,0.46537505962273296
seuclidean,deng-reads,logcounts,nsnmf,2,0.5814289729503783
seuclidean,deng-reads,logcounts,nsnmf,16,0.47054288907994296
seuclidean,deng-reads,logcounts,nsnmf,96,0.4626901328672562
seuclidean,deng-reads,logcounts,nsnmf,8,0.4396846191897534
seuclidean,deng-reads,logcounts,nsnmf,48,0.28035911202923774
seuclidean,deng-reads,logcounts,vpac,4,0.6715145143217295
