metric,dataset,count,method,dimensions,rho
seuclidean,deng-rpkms,normcounts,spca,4,0.31429937383289286
seuclidean,deng-rpkms,normcounts,spca,32,0.352179587655707
seuclidean,deng-rpkms,normcounts,spca,2,0.3225378389665108
seuclidean,deng-rpkms,normcounts,spca,16,0.4428367106417109
seuclidean,deng-rpkms,normcounts,spca,96,0.3987272609760798
seuclidean,deng-rpkms,normcounts,spca,8,0.23202052898560616
seuclidean,deng-rpkms,normcounts,spca,48,0.3534589362202869
seuclidean,deng-rpkms,normcounts,tsvd,4,0.2847730779854691
seuclidean,deng-rpkms,normcounts,tsvd,32,0.26362056064853767
seuclidean,deng-rpkms,normcounts,tsvd,2,0.2828777779358397
seuclidean,deng-rpkms,normcounts,tsvd,16,0.4304515337250728
seuclidean,deng-rpkms,normcounts,tsvd,96,0.29491937668699064
seuclidean,deng-rpkms,normcounts,tsvd,8,0.3384702137546378
seuclidean,deng-rpkms,normcounts,tsvd,48,0.23916123945146994
seuclidean,deng-rpkms,normcounts,spca-batch,4,0.34101326582918307
seuclidean,deng-rpkms,normcounts,spca-batch,32,0.1829108320059292
seuclidean,deng-rpkms,normcounts,spca-batch,2,0.38158003700700915
seuclidean,deng-rpkms,normcounts,spca-batch,16,0.3339290282474186
seuclidean,deng-rpkms,normcounts,spca-batch,96,0.5062347416669063
seuclidean,deng-rpkms,normcounts,spca-batch,8,0.36698187155793316
seuclidean,deng-rpkms,normcounts,spca-batch,48,0.48834634117058856
seuclidean,deng-rpkms,normcounts,zifa,4,0.582242411893448
seuclidean,deng-rpkms,normcounts,zifa,32,0.7312667399152997
seuclidean,deng-rpkms,normcounts,zifa,2,0.5592077489972322
seuclidean,deng-rpkms,normcounts,zifa,16,0.7395108043930859
seuclidean,deng-rpkms,normcounts,zifa,96,0.47457894969437214
seuclidean,deng-rpkms,normcounts,zifa,8,0.6357039054559089
seuclidean,deng-rpkms,normcounts,zifa,48,0.6833636892086931
seuclidean,deng-rpkms,normcounts,nsnmf,4,0.407355842335875
seuclidean,deng-rpkms,normcounts,nsnmf,32,0.2686242641146595
seuclidean,deng-rpkms,normcounts,nsnmf,2,0.212095566979223
seuclidean,deng-rpkms,normcounts,nsnmf,16,0.3173616293907879
seuclidean,deng-rpkms,normcounts,nsnmf,96,0.28004861546381454
seuclidean,deng-rpkms,normcounts,nsnmf,8,0.3140624686379739
seuclidean,deng-rpkms,normcounts,nsnmf,48,0.3498060211445096
seuclidean,deng-rpkms,normcounts,vpac,4,0.5649100972142926
seuclidean,deng-rpkms,normcounts,vpac,32,0.6360204248906673
seuclidean,deng-rpkms,normcounts,vpac,2,0.5991842062811019
seuclidean,deng-rpkms,normcounts,vpac,16,0.5296074656374989
seuclidean,deng-rpkms,normcounts,vpac,96,0.38626689153695104
seuclidean,deng-rpkms,normcounts,vpac,8,0.5270962819705014
seuclidean,deng-rpkms,normcounts,vpac,48,0.5693250586672947
seuclidean,deng-rpkms,normcounts,umap,4,0.4845943905274081
seuclidean,deng-rpkms,normcounts,umap,32,0.41887031557092064
seuclidean,deng-rpkms,normcounts,umap,2,0.13904565035617858
seuclidean,deng-rpkms,normcounts,umap,16,0.35386223039721953
seuclidean,deng-rpkms,normcounts,umap,96,0.35522341047310124
seuclidean,deng-rpkms,normcounts,umap,8,0.23309551802629813
seuclidean,deng-rpkms,normcounts,umap,48,0.3406657427049011
seuclidean,deng-rpkms,normcounts,kpca-sig,4,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,32,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,2,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,16,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,96,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,8,nan
seuclidean,deng-rpkms,normcounts,kpca-sig,48,nan
seuclidean,deng-rpkms,normcounts,nmf2,4,0.06827176063686484
seuclidean,deng-rpkms,normcounts,nmf2,32,0.13991949793347888
seuclidean,deng-rpkms,normcounts,nmf2,2,0.13103808069757658
seuclidean,deng-rpkms,normcounts,nmf2,16,0.18156505586466481
seuclidean,deng-rpkms,normcounts,nmf2,96,0.1092816608805969
seuclidean,deng-rpkms,normcounts,nmf2,8,0.19803906288306017
seuclidean,deng-rpkms,normcounts,nmf2,48,0.16151070367865006
seuclidean,deng-rpkms,normcounts,srp,4,0.39596390703319917
seuclidean,deng-rpkms,normcounts,srp,32,0.588745436992751
seuclidean,deng-rpkms,normcounts,srp,2,0.15632047868780946
seuclidean,deng-rpkms,normcounts,srp,16,0.6845096946382834
seuclidean,deng-rpkms,normcounts,srp,96,0.6233227478874045
seuclidean,deng-rpkms,normcounts,srp,8,0.5783470315450383
seuclidean,deng-rpkms,normcounts,srp,48,0.6122731995680961
seuclidean,deng-rpkms,normcounts,psmf,4,0.5762385727562273
seuclidean,deng-rpkms,normcounts,psmf,32,0.7413914487939737
seuclidean,deng-rpkms,normcounts,psmf,2,0.6225699242765803
seuclidean,deng-rpkms,normcounts,psmf,16,0.6519254922386831
seuclidean,deng-rpkms,normcounts,psmf,96,0.8107942674275319
seuclidean,deng-rpkms,normcounts,psmf,8,0.6114991393823814
seuclidean,deng-rpkms,normcounts,psmf,48,0.7699576154551024
seuclidean,deng-rpkms,normcounts,fica,4,0.31430768415971755
seuclidean,deng-rpkms,normcounts,fica,32,0.2159641417978193
seuclidean,deng-rpkms,normcounts,fica,2,0.32254607153888465
seuclidean,deng-rpkms,normcounts,fica,16,0.36436413933231016
seuclidean,deng-rpkms,normcounts,fica,96,0.2766169703600869
seuclidean,deng-rpkms,normcounts,fica,8,0.21338794085633875
seuclidean,deng-rpkms,normcounts,fica,48,0.2111109765897689
seuclidean,deng-rpkms,normcounts,lle,4,0.4292140918624836
seuclidean,deng-rpkms,normcounts,lle,32,0.1949820774791906
seuclidean,deng-rpkms,normcounts,lle,2,0.033399752979145145
seuclidean,deng-rpkms,normcounts,lle,16,0.14444827942806007
seuclidean,deng-rpkms,normcounts,lle,96,0.09403248893435293
seuclidean,deng-rpkms,normcounts,lle,8,0.3968391081810961
seuclidean,deng-rpkms,normcounts,lle,48,0.1467162685056482
seuclidean,deng-rpkms,normcounts,lsnmf,4,0.0036600589829970773
seuclidean,deng-rpkms,normcounts,lsnmf,32,0.026986592490937086
seuclidean,deng-rpkms,normcounts,lsnmf,2,0.0012945612918867323
seuclidean,deng-rpkms,normcounts,lsnmf,16,0.034295412940989915
seuclidean,deng-rpkms,normcounts,lsnmf,96,-0.03509345308396992
seuclidean,deng-rpkms,normcounts,lsnmf,8,-0.02366530955363379
seuclidean,deng-rpkms,normcounts,lsnmf,48,0.005313739582505775
seuclidean,deng-rpkms,normcounts,phate,4,0.4177636484182956
seuclidean,deng-rpkms,normcounts,phate,32,0.05957136818900609
seuclidean,deng-rpkms,normcounts,phate,2,0.4393097805318501
seuclidean,deng-rpkms,normcounts,phate,16,0.1678788097802809
seuclidean,deng-rpkms,normcounts,phate,96,-0.05071556905762851
seuclidean,deng-rpkms,normcounts,phate,8,0.3289384761460151
seuclidean,deng-rpkms,normcounts,phate,48,0.059394174867463914
seuclidean,deng-rpkms,normcounts,kpca-rbf,4,0.008238011460132389
seuclidean,deng-rpkms,normcounts,kpca-rbf,32,0.06919656895302803
seuclidean,deng-rpkms,normcounts,kpca-rbf,2,0.032895988982477226
seuclidean,deng-rpkms,normcounts,kpca-rbf,16,nan
seuclidean,deng-rpkms,normcounts,kpca-rbf,96,0.08074166685088419
seuclidean,deng-rpkms,normcounts,kpca-rbf,48,0.09187995060574898
seuclidean,deng-rpkms,normcounts,isomap,4,0.3231231799797081
seuclidean,deng-rpkms,normcounts,isomap,32,-0.05030986298873026
seuclidean,deng-rpkms,normcounts,isomap,2,0.35902313490759086
seuclidean,deng-rpkms,normcounts,isomap,16,0.02376127739665997
seuclidean,deng-rpkms,normcounts,isomap,96,-0.12915107003708193
seuclidean,deng-rpkms,normcounts,isomap,8,0.06787525503915576
seuclidean,deng-rpkms,normcounts,isomap,48,-0.04062753253663046
seuclidean,deng-rpkms,normcounts,saucie,4,0.04318277134607759
