metric,dataset,count,method,dimensions,rho
seuclidean,fan,lognormcounts,spca,4,0.1995800497022834
seuclidean,fan,lognormcounts,spca,32,0.9199322196491524
seuclidean,fan,lognormcounts,spca,2,0.05076799808529094
seuclidean,fan,lognormcounts,spca,16,0.8216705046285593
seuclidean,fan,lognormcounts,spca,96,0.9365085296184115
seuclidean,fan,lognormcounts,spca,8,0.6990434540421675
seuclidean,fan,lognormcounts,spca,48,0.8938450478594586
seuclidean,fan,lognormcounts,tsvd,4,0.11230151089260716
seuclidean,fan,lognormcounts,tsvd,32,0.8600626441272351
seuclidean,fan,lognormcounts,tsvd,2,0.27115683971062254
seuclidean,fan,lognormcounts,tsvd,16,0.8747718671419135
seuclidean,fan,lognormcounts,tsvd,96,0.24810791040204325
seuclidean,fan,lognormcounts,tsvd,8,0.6967140948033897
seuclidean,fan,lognormcounts,tsvd,48,0.7005370114994407
seuclidean,fan,lognormcounts,spca-batch,4,0.15320142901846454
seuclidean,fan,lognormcounts,spca-batch,32,0.8427719051754051
seuclidean,fan,lognormcounts,spca-batch,2,0.11842751234799616
seuclidean,fan,lognormcounts,spca-batch,16,0.6896308968812831
seuclidean,fan,lognormcounts,spca-batch,96,0.9206917319372288
seuclidean,fan,lognormcounts,spca-batch,8,0.49307326223178
seuclidean,fan,lognormcounts,spca-batch,48,0.9266232786562175
seuclidean,fan,lognormcounts,nsnmf,4,0.03766114868147808
seuclidean,fan,lognormcounts,nsnmf,32,0.08840218408540593
seuclidean,fan,lognormcounts,nsnmf,2,0.2689441234024353
seuclidean,fan,lognormcounts,nsnmf,16,0.29270665001493623
seuclidean,fan,lognormcounts,nsnmf,96,0.16682571629174822
seuclidean,fan,lognormcounts,nsnmf,8,0.27089869103507813
seuclidean,fan,lognormcounts,nsnmf,48,0.38952134267368443
seuclidean,fan,lognormcounts,vpac,4,0.017909949240366124
seuclidean,fan,lognormcounts,vpac,32,0.8732891677114529
seuclidean,fan,lognormcounts,vpac,2,0.286167079851319
seuclidean,fan,lognormcounts,vpac,16,0.810883360182125
seuclidean,fan,lognormcounts,vpac,8,0.6224871972555968
seuclidean,fan,lognormcounts,vpac,48,0.7529655192354628
seuclidean,fan,lognormcounts,umap,4,0.0525807097924957
seuclidean,fan,lognormcounts,umap,32,0.13235857353201666
seuclidean,fan,lognormcounts,umap,2,0.25991238873379896
seuclidean,fan,lognormcounts,umap,16,0.2569231423387368
seuclidean,fan,lognormcounts,umap,8,0.20423124294714623
seuclidean,fan,lognormcounts,umap,48,-0.016821937260691765
seuclidean,fan,lognormcounts,kpca-sig,4,0.6840465711348368
seuclidean,fan,lognormcounts,kpca-sig,32,0.8034307267130223
seuclidean,fan,lognormcounts,kpca-sig,2,0.49497141189755706
seuclidean,fan,lognormcounts,kpca-sig,16,0.7550608302409643
seuclidean,fan,lognormcounts,kpca-sig,96,nan
seuclidean,fan,lognormcounts,kpca-sig,8,0.7332233782825652
seuclidean,fan,lognormcounts,kpca-sig,48,0.6369237366728361
seuclidean,fan,lognormcounts,nmf2,4,0.10475129744301132
seuclidean,fan,lognormcounts,nmf2,32,0.34593460642096774
seuclidean,fan,lognormcounts,nmf2,2,-0.10291675538716198
seuclidean,fan,lognormcounts,nmf2,16,0.3252970223569812
seuclidean,fan,lognormcounts,nmf2,96,0.1597687198948136
seuclidean,fan,lognormcounts,nmf2,8,0.16002809784976538
seuclidean,fan,lognormcounts,nmf2,48,0.2679181796976445
seuclidean,fan,lognormcounts,srp,4,0.4772470011661984
seuclidean,fan,lognormcounts,srp,32,0.7492594655487091
seuclidean,fan,lognormcounts,srp,2,0.3133175182261647
seuclidean,fan,lognormcounts,srp,16,0.6816084249241738
seuclidean,fan,lognormcounts,srp,96,0.824170390819902
seuclidean,fan,lognormcounts,srp,8,0.6441611465414864
seuclidean,fan,lognormcounts,srp,48,0.7622387811656984
seuclidean,fan,lognormcounts,psmf,4,0.23403053213912714
seuclidean,fan,lognormcounts,psmf,32,0.5360895362375034
seuclidean,fan,lognormcounts,psmf,2,0.45557333518604753
seuclidean,fan,lognormcounts,psmf,16,0.296511942175864
seuclidean,fan,lognormcounts,psmf,96,0.6622838778461528
seuclidean,fan,lognormcounts,psmf,8,0.14466312053805622
seuclidean,fan,lognormcounts,psmf,48,0.6437835474119572
seuclidean,fan,lognormcounts,fica,4,0.18725678263120366
seuclidean,fan,lognormcounts,fica,32,0.8641336880142851
seuclidean,fan,lognormcounts,fica,2,0.03733689492824851
seuclidean,fan,lognormcounts,fica,16,0.8828580841061541
seuclidean,fan,lognormcounts,fica,96,0.4062045014631222
seuclidean,fan,lognormcounts,fica,8,0.7720151539631726
seuclidean,fan,lognormcounts,fica,48,0.6848175566973818
seuclidean,fan,lognormcounts,lle,4,-0.30485133995583974
seuclidean,fan,lognormcounts,lle,32,0.43208460837127854
seuclidean,fan,lognormcounts,lle,2,0.13383049605153052
seuclidean,fan,lognormcounts,lle,16,-0.10220880717535376
seuclidean,fan,lognormcounts,lle,8,-0.39258575020283726
seuclidean,fan,lognormcounts,lle,48,0.3399840137745439
seuclidean,fan,lognormcounts,lsnmf,4,-0.010912402060111789
seuclidean,fan,lognormcounts,lsnmf,32,0.7798278155264776
seuclidean,fan,lognormcounts,lsnmf,2,0.44147184553772306
seuclidean,fan,lognormcounts,lsnmf,16,0.6518876868079133
seuclidean,fan,lognormcounts,lsnmf,96,0.8485007861551868
seuclidean,fan,lognormcounts,lsnmf,8,0.17554508753685288
seuclidean,fan,lognormcounts,lsnmf,48,0.31331488944072583
seuclidean,fan,lognormcounts,phate,4,-0.17179558836789927
seuclidean,fan,lognormcounts,phate,32,-0.3258441185679992
seuclidean,fan,lognormcounts,phate,2,-0.06655120762171715
seuclidean,fan,lognormcounts,phate,16,-0.3818417740123865
seuclidean,fan,lognormcounts,phate,8,-0.37423366648791256
seuclidean,fan,lognormcounts,phate,48,-0.4325093347417075
seuclidean,fan,lognormcounts,kpca-rbf,4,-0.4661471735133599
seuclidean,fan,lognormcounts,kpca-rbf,32,0.8401152779562457
seuclidean,fan,lognormcounts,kpca-rbf,2,-0.13757753214778437
seuclidean,fan,lognormcounts,kpca-rbf,16,0.7956123698532346
seuclidean,fan,lognormcounts,kpca-rbf,96,nan
seuclidean,fan,lognormcounts,kpca-rbf,8,0.1299560715605492
seuclidean,fan,lognormcounts,kpca-rbf,48,0.6836876641045453
seuclidean,fan,lognormcounts,isomap,4,0.3677567319036697
seuclidean,fan,lognormcounts,isomap,32,0.38612552579356496
seuclidean,fan,lognormcounts,isomap,2,0.252346180061054
seuclidean,fan,lognormcounts,isomap,16,0.8556663178317838
seuclidean,fan,lognormcounts,isomap,96,nan
seuclidean,fan,lognormcounts,isomap,8,0.7750857832754385
seuclidean,fan,lognormcounts,isomap,48,nan
seuclidean,fan,lognormcounts,saucie,4,0.05645549089321607
seuclidean,fan,lognormcounts,saucie,32,-0.09793914651094272
seuclidean,fan,lognormcounts,saucie,2,-0.03924106575290313
seuclidean,fan,lognormcounts,saucie,16,-0.021876486139224174
seuclidean,fan,lognormcounts,saucie,96,0.14871838684885522
seuclidean,fan,lognormcounts,saucie,8,0.11929971952488681
seuclidean,fan,lognormcounts,saucie,48,0.1473151540701721
seuclidean,fan,lognormcounts,bd,4,-0.01609153980486971
seuclidean,fan,lognormcounts,bd,32,0.7943133692683358
seuclidean,fan,lognormcounts,bd,2,0.47841632189290456
seuclidean,fan,lognormcounts,bd,16,0.7064538396949618
seuclidean,fan,lognormcounts,bd,96,0.7426966613598112
seuclidean,fan,lognormcounts,bd,8,0.3588386855177901
seuclidean,fan,lognormcounts,bd,48,0.4639282074562569
