metric,dataset,count,method,dimensions,rho
seuclidean,klein,counts,spca,4,0.4085565732288237
seuclidean,klein,counts,spca,32,0.6288513470921115
seuclidean,klein,counts,spca,2,0.34181967141239344
seuclidean,klein,counts,spca,16,0.5425752200620337
seuclidean,klein,counts,spca,96,0.7150049640700534
seuclidean,klein,counts,spca,8,0.44325023717915324
seuclidean,klein,counts,spca,48,0.6694218380253432
seuclidean,klein,counts,tsvd,4,0.3866657648463201
seuclidean,klein,counts,tsvd,32,0.6298139956761651
seuclidean,klein,counts,tsvd,2,0.352934666295394
seuclidean,klein,counts,tsvd,16,0.5450116632878433
seuclidean,klein,counts,tsvd,96,0.7115392691745246
seuclidean,klein,counts,tsvd,8,0.40923514300841873
seuclidean,klein,counts,tsvd,48,0.6684515742109043
seuclidean,klein,counts,spca-batch,4,0.3717390572387644
seuclidean,klein,counts,spca-batch,32,0.6009661937419077
seuclidean,klein,counts,spca-batch,2,0.3672252481670444
seuclidean,klein,counts,spca-batch,16,0.5200058722544048
seuclidean,klein,counts,spca-batch,96,0.7036555177431748
seuclidean,klein,counts,spca-batch,8,0.3861050865355596
seuclidean,klein,counts,spca-batch,48,0.5913612507936381
seuclidean,klein,counts,zifa,4,0.40474613052201325
seuclidean,klein,counts,zifa,2,0.3641508917109038
seuclidean,klein,counts,zifa,16,0.5575526453363763
seuclidean,klein,counts,zifa,8,0.5013344637273504
seuclidean,klein,counts,nsnmf,4,0.2588592475796965
seuclidean,klein,counts,nsnmf,32,0.3882473327469772
seuclidean,klein,counts,nsnmf,2,0.08204127473392606
seuclidean,klein,counts,nsnmf,16,0.3416101595595156
seuclidean,klein,counts,nsnmf,96,0.4086151856870949
seuclidean,klein,counts,nsnmf,8,0.3237175099848512
seuclidean,klein,counts,nsnmf,48,0.3926960720355419
seuclidean,klein,counts,vpac,4,0.3409496146238948
seuclidean,klein,counts,vpac,32,0.3240317604685463
seuclidean,klein,counts,vpac,2,0.3665350699412431
seuclidean,klein,counts,vpac,16,0.15226607502324777
seuclidean,klein,counts,vpac,96,0.25382203907868
seuclidean,klein,counts,vpac,8,-0.033436814821340956
seuclidean,klein,counts,vpac,48,0.226619250216699
seuclidean,klein,counts,umap,4,0.21412337104331425
seuclidean,klein,counts,umap,32,0.19550582981064854
seuclidean,klein,counts,umap,2,0.20320729604022333
seuclidean,klein,counts,umap,16,0.1943806505434914
seuclidean,klein,counts,umap,96,0.17672047633985105
seuclidean,klein,counts,umap,8,0.2189113206921928
seuclidean,klein,counts,umap,48,0.20137303098568055
seuclidean,klein,counts,kpca-sig,4,nan
seuclidean,klein,counts,kpca-sig,32,nan
seuclidean,klein,counts,kpca-sig,2,nan
seuclidean,klein,counts,kpca-sig,16,nan
seuclidean,klein,counts,kpca-sig,96,nan
seuclidean,klein,counts,kpca-sig,8,nan
seuclidean,klein,counts,kpca-sig,48,nan
seuclidean,klein,counts,nmf2,4,0.41234370922306435
seuclidean,klein,counts,nmf2,32,0.507297482117858
seuclidean,klein,counts,nmf2,2,0.3894459066333904
seuclidean,klein,counts,nmf2,16,0.49176633534778275
seuclidean,klein,counts,nmf2,96,0.5307780850655226
seuclidean,klein,counts,nmf2,8,0.38044167768269743
seuclidean,klein,counts,nmf2,48,0.5138166260754808
seuclidean,klein,counts,srp,4,0.5206645798068931
seuclidean,klein,counts,srp,32,0.6539805119002051
seuclidean,klein,counts,srp,2,0.28009633595317496
seuclidean,klein,counts,srp,16,0.632555615362227
seuclidean,klein,counts,srp,96,0.7390439086523019
seuclidean,klein,counts,srp,8,0.5042474203587444
seuclidean,klein,counts,srp,48,0.6785623944565061
seuclidean,klein,counts,psmf,4,0.33065976000882275
seuclidean,klein,counts,psmf,32,0.41688819519502307
seuclidean,klein,counts,psmf,2,0.297253357328039
seuclidean,klein,counts,psmf,16,0.38784268586877396
seuclidean,klein,counts,psmf,96,0.5341255788329687
seuclidean,klein,counts,psmf,8,0.35134057659241263
seuclidean,klein,counts,psmf,48,0.4409815140359203
seuclidean,klein,counts,fica,4,0.4085555353905971
seuclidean,klein,counts,fica,32,0.6322490934443561
seuclidean,klein,counts,fica,2,0.3418166055764935
seuclidean,klein,counts,fica,16,0.5460984095687049
seuclidean,klein,counts,fica,96,0.7129532370743801
seuclidean,klein,counts,fica,8,0.44357880314972453
seuclidean,klein,counts,fica,48,0.6708672529144422
seuclidean,klein,counts,lle,4,0.1842248921489874
seuclidean,klein,counts,lle,32,0.09683799633383912
seuclidean,klein,counts,lle,2,0.042394165628234504
seuclidean,klein,counts,lle,16,0.09609167592182859
seuclidean,klein,counts,lle,96,0.012651396042910138
seuclidean,klein,counts,lle,8,0.08978271049480296
seuclidean,klein,counts,lle,48,0.09437329435532972
seuclidean,klein,counts,lsnmf,4,-0.010075628040482995
seuclidean,klein,counts,lsnmf,32,0.005564265705976189
seuclidean,klein,counts,lsnmf,2,-0.00024540882397079217
seuclidean,klein,counts,lsnmf,16,-0.007475965949378469
seuclidean,klein,counts,lsnmf,96,-0.003803773917904246
seuclidean,klein,counts,lsnmf,8,0.000298620330082673
seuclidean,klein,counts,lsnmf,48,0.01538289886530213
seuclidean,klein,counts,phate,4,0.15118931851545905
seuclidean,klein,counts,phate,32,-0.013832068994870597
seuclidean,klein,counts,phate,2,0.09392470721843746
seuclidean,klein,counts,phate,16,0.05420236282821294
seuclidean,klein,counts,phate,96,-0.017228734591876148
seuclidean,klein,counts,phate,8,0.14760360542415835
seuclidean,klein,counts,phate,48,0.0006841680056148609
seuclidean,klein,counts,kpca-rbf,4,-0.07174279813696713
seuclidean,klein,counts,kpca-rbf,32,nan
seuclidean,klein,counts,kpca-rbf,2,-0.05608054021427891
seuclidean,klein,counts,kpca-rbf,16,-0.04189404852279875
seuclidean,klein,counts,kpca-rbf,96,nan
seuclidean,klein,counts,kpca-rbf,48,-0.04169174850145206
seuclidean,klein,counts,isomap,4,0.4062094437551727
seuclidean,klein,counts,isomap,32,0.5224472456032447
seuclidean,klein,counts,isomap,2,0.3845054994747425
seuclidean,klein,counts,isomap,16,0.5157387198174532
seuclidean,klein,counts,isomap,96,0.5409337355382831
seuclidean,klein,counts,isomap,8,0.4362438009798856
seuclidean,klein,counts,isomap,48,0.5286361548139874
seuclidean,klein,counts,saucie,4,0.011402127787465303
seuclidean,klein,counts,saucie,32,-0.00013757844945051895
seuclidean,klein,counts,saucie,2,-0.0071424977543296546
seuclidean,klein,counts,saucie,16,0.0006720136578172485
seuclidean,klein,counts,saucie,96,-0.006181220562026901
seuclidean,klein,counts,saucie,8,-0.013895663589998213
seuclidean,klein,counts,saucie,48,-0.0027660832749969127
seuclidean,klein,counts,bd,4,0.34931853691075976
seuclidean,klein,counts,bd,32,0.5616049123852914
seuclidean,klein,counts,bd,2,0.34242776539385633
seuclidean,klein,counts,bd,16,0.45141643187107905
seuclidean,klein,counts,bd,96,0.6629723954810448
seuclidean,klein,counts,bd,8,0.39325614472874965
seuclidean,klein,counts,bd,48,0.5972651082521238
seuclidean,klein,counts,lda,4,0.19715558053345253
seuclidean,klein,counts,lda,32,0.532733169143448
seuclidean,klein,counts,lda,2,0.2753041313753277
seuclidean,klein,counts,lda,16,0.4569489519201358
seuclidean,klein,counts,lda,96,0.6254318968078334
seuclidean,klein,counts,lda,8,0.3376612801800046
seuclidean,klein,counts,lda,48,0.5801062349635979
seuclidean,klein,counts,spectral,4,0.3244308609445762
seuclidean,klein,counts,spectral,32,0.39119214242872985
seuclidean,klein,counts,spectral,2,0.09625633156652554
seuclidean,klein,counts,spectral,16,0.24916699658192054
seuclidean,klein,counts,spectral,96,0.46983852128662057
seuclidean,klein,counts,spectral,8,0.2354456285215606
seuclidean,klein,counts,spectral,48,0.3923795929397889
seuclidean,klein,counts,grp,4,0.48646047888138805
seuclidean,klein,counts,grp,32,0.645548451282312
seuclidean,klein,counts,grp,2,0.359274882373102
seuclidean,klein,counts,grp,16,0.5851123816610968
seuclidean,klein,counts,grp,96,0.6550072644053244
seuclidean,klein,counts,grp,8,0.56525035047232
seuclidean,klein,counts,grp,48,0.6489989222960126
seuclidean,klein,counts,fa,4,0.2730957161511029
seuclidean,klein,counts,fa,32,0.8119527529321777
seuclidean,klein,counts,fa,2,0.2772081698102522
seuclidean,klein,counts,fa,16,0.6877915233076674
seuclidean,klein,counts,fa,96,0.914079412968709
seuclidean,klein,counts,fa,8,0.5253728869541422
seuclidean,klein,counts,fa,48,0.8641580816944049
seuclidean,klein,counts,mctsne,4,0.18303550419199632
seuclidean,klein,counts,mctsne,32,nan
seuclidean,klein,counts,mctsne,2,0.07229662776658743
seuclidean,klein,counts,mctsne,16,0.1641595175200958
seuclidean,klein,counts,mctsne,96,nan
seuclidean,klein,counts,mctsne,8,0.129111014845338
seuclidean,klein,counts,mctsne,48,nan
seuclidean,klein,counts,nmf,4,0.3479713730147072
seuclidean,klein,counts,nmf,32,0.551818772307064
seuclidean,klein,counts,nmf,2,0.34239939249159473
seuclidean,klein,counts,nmf,16,0.474556395356962
seuclidean,klein,counts,nmf,96,0.6255168844883743
seuclidean,klein,counts,nmf,8,0.38108087259151036
seuclidean,klein,counts,nmf,48,0.583512962297093
seuclidean,klein,counts,kpca-pol,4,0.4186029024382619
seuclidean,klein,counts,kpca-pol,32,0.5363489767882395
seuclidean,klein,counts,kpca-pol,2,0.23927986748555968
seuclidean,klein,counts,kpca-pol,16,0.4729696951185491
seuclidean,klein,counts,kpca-pol,96,0.5870621438996068
seuclidean,klein,counts,kpca-pol,8,0.4349396717843448
seuclidean,klein,counts,kpca-pol,48,0.5613369010865673
seuclidean,klein,counts,vasc,4,0.387116178209899
seuclidean,klein,counts,vasc,32,0.3716784035048628
seuclidean,klein,counts,vasc,2,0.3908619759986393
seuclidean,klein,counts,vasc,16,0.42289550624132094
seuclidean,klein,counts,vasc,96,nan
seuclidean,klein,counts,vasc,8,0.4408921582607347
seuclidean,klein,counts,vasc,48,0.33667125043848894
seuclidean,klein,counts,kpca-cos,4,0.1742440567861802
seuclidean,klein,counts,kpca-cos,32,0.48909378799910236
seuclidean,klein,counts,kpca-cos,2,0.14338725621247844
seuclidean,klein,counts,kpca-cos,16,0.3695087786126807
seuclidean,klein,counts,kpca-cos,96,0.7816083751659119
seuclidean,klein,counts,kpca-cos,8,0.21800465970577868
seuclidean,klein,counts,kpca-cos,48,0.6158885711825997
seuclidean,klein,counts,pca,4,0.408555535931793
seuclidean,klein,counts,pca,32,0.6324264426676177
seuclidean,klein,counts,pca,2,0.34181660769793737
seuclidean,klein,counts,pca,16,0.5460857354096739
seuclidean,klein,counts,pca,96,0.7131042482184757
seuclidean,klein,counts,pca,8,0.4435824861271006
seuclidean,klein,counts,pca,48,0.6706646212356129
seuclidean,klein,counts,pmf,4,0.3204776762084067
seuclidean,klein,counts,pmf,32,0.484392153245266
seuclidean,klein,counts,pmf,2,0.2869798871650664
seuclidean,klein,counts,pmf,16,0.43272320608913656
seuclidean,klein,counts,pmf,96,0.6199243108267515
seuclidean,klein,counts,pmf,8,0.32264365229008685
seuclidean,klein,counts,pmf,48,0.5457296411509888
seuclidean,klein,counts,snmf,4,0.302086477033558
seuclidean,klein,counts,snmf,32,0.5790623317924476
seuclidean,klein,counts,snmf,2,0.34589363276490176
seuclidean,klein,counts,snmf,16,0.5034837557377501
seuclidean,klein,counts,snmf,8,0.36628431502597325
seuclidean,klein,counts,snmf,48,nan
seuclidean,klein,counts,ipca,4,0.408555535633551
seuclidean,klein,counts,ipca,32,0.6322490934683048
seuclidean,klein,counts,ipca,2,0.3418166076995878
seuclidean,klein,counts,ipca,16,0.5460984100203531
