metric,dataset,count,method,dimensions,rho
seuclidean,li,logcounts,spca,4,0.2631411458162895
seuclidean,li,logcounts,spca,32,0.25969764326603056
seuclidean,li,logcounts,spca,2,0.24194862997324604
seuclidean,li,logcounts,spca,16,0.31543617267056145
seuclidean,li,logcounts,spca,96,0.17996843149014963
seuclidean,li,logcounts,spca,8,0.336923554797105
seuclidean,li,logcounts,spca,48,0.24866443636857025
seuclidean,li,logcounts,tsvd,4,0.2699931720914941
seuclidean,li,logcounts,tsvd,32,0.22184580511011376
seuclidean,li,logcounts,tsvd,2,0.24961755929220075
seuclidean,li,logcounts,tsvd,16,0.31574406583678094
seuclidean,li,logcounts,tsvd,96,0.10810075176481485
seuclidean,li,logcounts,tsvd,8,0.3272229924266939
seuclidean,li,logcounts,tsvd,48,0.1801064049961055
seuclidean,li,logcounts,spca-batch,4,0.2631872869330127
seuclidean,li,logcounts,spca-batch,32,0.314140914531038
seuclidean,li,logcounts,spca-batch,2,0.2743225284683705
seuclidean,li,logcounts,spca-batch,16,0.3103566832200437
seuclidean,li,logcounts,spca-batch,96,0.216223753047761
seuclidean,li,logcounts,spca-batch,8,0.27549041643763444
seuclidean,li,logcounts,spca-batch,48,0.24937448530169368
seuclidean,li,logcounts,zifa,4,0.2902196473088085
seuclidean,li,logcounts,zifa,32,0.35064676365251113
seuclidean,li,logcounts,zifa,2,0.25036484424582345
seuclidean,li,logcounts,zifa,16,0.3999904381204389
seuclidean,li,logcounts,zifa,8,0.3604559006026274
seuclidean,li,logcounts,nsnmf,4,0.22722071021292442
seuclidean,li,logcounts,nsnmf,32,0.40429201256395064
seuclidean,li,logcounts,nsnmf,2,0.21155656746746748
seuclidean,li,logcounts,nsnmf,16,0.3712610575520471
seuclidean,li,logcounts,nsnmf,96,0.5031827745250886
seuclidean,li,logcounts,nsnmf,8,0.3224936388109923
seuclidean,li,logcounts,nsnmf,48,0.42914334494653184
seuclidean,li,logcounts,vpac,4,0.2790192325654809
seuclidean,li,logcounts,vpac,32,0.21941380443460723
seuclidean,li,logcounts,vpac,2,0.23856109564790207
seuclidean,li,logcounts,vpac,16,0.1908729679374575
seuclidean,li,logcounts,vpac,96,0.2243690332418231
seuclidean,li,logcounts,vpac,8,0.1779794797203637
seuclidean,li,logcounts,vpac,48,0.2642224369973632
seuclidean,li,logcounts,umap,4,0.14742048696948343
seuclidean,li,logcounts,umap,32,0.12233367054779681
seuclidean,li,logcounts,umap,2,0.27681639681581655
seuclidean,li,logcounts,umap,16,0.1733034666822264
seuclidean,li,logcounts,umap,96,0.12069971729321173
seuclidean,li,logcounts,umap,8,0.21233647622398988
seuclidean,li,logcounts,umap,48,0.07327508315354203
seuclidean,li,logcounts,kpca-sig,4,0.13610278332732711
seuclidean,li,logcounts,kpca-sig,32,0.14958547055751398
seuclidean,li,logcounts,kpca-sig,2,0.14613885615342911
seuclidean,li,logcounts,kpca-sig,16,0.16350660360855326
seuclidean,li,logcounts,kpca-sig,96,0.08747242351402212
seuclidean,li,logcounts,kpca-sig,8,0.16904100128688027
seuclidean,li,logcounts,kpca-sig,48,0.12814862451978354
seuclidean,li,logcounts,nmf2,4,0.1926466454868031
seuclidean,li,logcounts,nmf2,32,0.2328210735211732
seuclidean,li,logcounts,nmf2,2,0.2284703339096021
seuclidean,li,logcounts,nmf2,16,0.2609202455066979
seuclidean,li,logcounts,nmf2,96,0.2863330232175092
seuclidean,li,logcounts,nmf2,8,0.2046375210426984
