metric,dataset,count,method,dimensions,rho
seuclidean,manno_mouse,counts,spca,4,0.10617945103887953
seuclidean,manno_mouse,counts,spca,32,0.29534073798598803
seuclidean,manno_mouse,counts,spca,2,0.06116004982129304
seuclidean,manno_mouse,counts,spca,16,0.26443548605092676
seuclidean,manno_mouse,counts,spca,96,0.38546690049258303
seuclidean,manno_mouse,counts,spca,8,0.24694996492073845
seuclidean,manno_mouse,counts,spca,48,0.3232391981274976
seuclidean,manno_mouse,counts,tsvd,4,0.14206213323764075
seuclidean,manno_mouse,counts,tsvd,32,0.2765738955248457
seuclidean,manno_mouse,counts,tsvd,2,0.039873959337922274
seuclidean,manno_mouse,counts,tsvd,16,0.2528163493188429
seuclidean,manno_mouse,counts,tsvd,96,0.3637519381765644
seuclidean,manno_mouse,counts,tsvd,8,0.18778916779815408
seuclidean,manno_mouse,counts,tsvd,48,0.30342070601308635
seuclidean,manno_mouse,counts,spca-batch,4,0.04677714063911197
seuclidean,manno_mouse,counts,spca-batch,32,0.2636868656438328
seuclidean,manno_mouse,counts,spca-batch,2,0.024993955313062838
seuclidean,manno_mouse,counts,spca-batch,16,0.18140067223620743
seuclidean,manno_mouse,counts,spca-batch,96,0.32671427537845055
seuclidean,manno_mouse,counts,spca-batch,8,0.19636674706751842
seuclidean,manno_mouse,counts,spca-batch,48,0.26815590598919525
seuclidean,manno_mouse,counts,zifa,4,0.33498304244165134
seuclidean,manno_mouse,counts,zifa,32,0.4033380351876337
seuclidean,manno_mouse,counts,zifa,2,0.23413346425875506
seuclidean,manno_mouse,counts,zifa,16,0.4002360993440253
seuclidean,manno_mouse,counts,zifa,8,0.4205376822359071
seuclidean,manno_mouse,counts,zifa,48,0.42087656145652086
seuclidean,manno_mouse,counts,nsnmf,4,0.18266761189144523
seuclidean,manno_mouse,counts,nsnmf,32,0.3174497849747461
seuclidean,manno_mouse,counts,nsnmf,2,0.10034041709967383
seuclidean,manno_mouse,counts,nsnmf,16,0.26772065353611646
seuclidean,manno_mouse,counts,nsnmf,96,0.42627467995600626
seuclidean,manno_mouse,counts,nsnmf,8,0.15386080227694346
seuclidean,manno_mouse,counts,nsnmf,48,0.36719526590809726
seuclidean,manno_mouse,counts,vpac,4,-0.0033734093265451294
seuclidean,manno_mouse,counts,vpac,32,0.21220990921221286
seuclidean,manno_mouse,counts,vpac,2,0.13898501382823908
seuclidean,manno_mouse,counts,vpac,16,0.17561121557438494
seuclidean,manno_mouse,counts,vpac,96,0.23578983925050617
seuclidean,manno_mouse,counts,vpac,8,0.08361323576548953
seuclidean,manno_mouse,counts,vpac,48,0.24361407236246369
seuclidean,manno_mouse,counts,umap,4,-0.06326308115370967
seuclidean,manno_mouse,counts,umap,32,-0.05252127714011144
seuclidean,manno_mouse,counts,umap,2,0.015569260546904938
seuclidean,manno_mouse,counts,umap,16,-0.06303774656163194
seuclidean,manno_mouse,counts,umap,96,-0.07012073258152957
seuclidean,manno_mouse,counts,umap,8,-0.07556969253188854
seuclidean,manno_mouse,counts,umap,48,-0.06277845174693801
seuclidean,manno_mouse,counts,kpca-sig,4,nan
seuclidean,manno_mouse,counts,kpca-sig,32,nan
seuclidean,manno_mouse,counts,kpca-sig,2,nan
seuclidean,manno_mouse,counts,kpca-sig,16,nan
seuclidean,manno_mouse,counts,kpca-sig,96,nan
seuclidean,manno_mouse,counts,kpca-sig,8,nan
seuclidean,manno_mouse,counts,kpca-sig,48,nan
seuclidean,manno_mouse,counts,nmf2,4,0.13718011969101243
seuclidean,manno_mouse,counts,nmf2,32,0.15733341715786728
seuclidean,manno_mouse,counts,nmf2,2,0.018902801914755678
seuclidean,manno_mouse,counts,nmf2,16,0.1537533555854289
seuclidean,manno_mouse,counts,nmf2,96,0.2104084880426042
seuclidean,manno_mouse,counts,nmf2,8,0.16610592705505203
seuclidean,manno_mouse,counts,nmf2,48,0.17803972474088048
seuclidean,manno_mouse,counts,srp,4,0.2200865464037447
seuclidean,manno_mouse,counts,srp,32,0.3660598425438869
seuclidean,manno_mouse,counts,srp,2,0.1353236387162153
