metric,dataset,count,method,dimensions,rho
seuclidean,marques,counts,spca,4,0.20140676433433558
seuclidean,marques,counts,spca,32,0.33977895951666465
seuclidean,marques,counts,spca,2,0.24594064042346014
seuclidean,marques,counts,spca,16,0.25599958783576565
seuclidean,marques,counts,spca,96,0.5883707351575804
seuclidean,marques,counts,spca,8,0.23874436551945724
seuclidean,marques,counts,spca,48,0.45215479207707293
seuclidean,marques,counts,tsvd,4,0.15153895233362888
seuclidean,marques,counts,tsvd,32,0.3112785226081575
seuclidean,marques,counts,tsvd,2,0.19430240494161202
seuclidean,marques,counts,tsvd,16,0.2808266358345645
seuclidean,marques,counts,tsvd,96,0.5454304062980881
seuclidean,marques,counts,tsvd,8,0.20723336507329515
seuclidean,marques,counts,tsvd,48,0.3973898927658939
seuclidean,marques,counts,spca-batch,4,0.16545831758799492
seuclidean,marques,counts,spca-batch,32,0.2895761431231797
seuclidean,marques,counts,spca-batch,2,0.232166747608536
seuclidean,marques,counts,spca-batch,16,0.26499285950522544
seuclidean,marques,counts,spca-batch,96,0.40136972305391155
seuclidean,marques,counts,spca-batch,8,0.19220729925162783
seuclidean,marques,counts,spca-batch,48,0.2558538573817107
seuclidean,marques,counts,zifa,4,0.5159755041624972
seuclidean,marques,counts,zifa,32,0.5239547379566439
seuclidean,marques,counts,zifa,2,0.5436288730286774
seuclidean,marques,counts,zifa,16,0.5757404257856878
seuclidean,marques,counts,zifa,8,0.5424453594197877
seuclidean,marques,counts,nsnmf,4,0.3204236608695231
seuclidean,marques,counts,nsnmf,32,0.40524033913763746
seuclidean,marques,counts,nsnmf,2,0.2631739738920463
seuclidean,marques,counts,nsnmf,16,0.31100173146140986
seuclidean,marques,counts,nsnmf,96,0.38666534977844785
seuclidean,marques,counts,nsnmf,8,0.40504340598229677
seuclidean,marques,counts,nsnmf,48,0.38369578237218643
seuclidean,marques,counts,vpac,4,0.36891167406786607
seuclidean,marques,counts,vpac,32,0.3656955261871205
seuclidean,marques,counts,vpac,2,0.2517435744677072
seuclidean,marques,counts,vpac,16,0.2874877849954883
seuclidean,marques,counts,vpac,96,0.4504877809486683
seuclidean,marques,counts,vpac,8,0.2788950179619164
seuclidean,marques,counts,vpac,48,0.4472394391882669
seuclidean,marques,counts,umap,4,0.18763045338387813
seuclidean,marques,counts,umap,32,0.21367192582426953
seuclidean,marques,counts,umap,2,0.16679626552554627
seuclidean,marques,counts,umap,16,0.1454040461846783
seuclidean,marques,counts,umap,96,0.1551889313725216
seuclidean,marques,counts,umap,8,0.16721277176426474
seuclidean,marques,counts,umap,48,0.2015043207950229
seuclidean,marques,counts,kpca-sig,4,nan
seuclidean,marques,counts,kpca-sig,32,nan
seuclidean,marques,counts,kpca-sig,2,nan
seuclidean,marques,counts,kpca-sig,16,nan
seuclidean,marques,counts,kpca-sig,96,nan
seuclidean,marques,counts,kpca-sig,8,nan
seuclidean,marques,counts,kpca-sig,48,nan
seuclidean,marques,counts,nmf2,4,0.09366731958205557
seuclidean,marques,counts,nmf2,32,0.009820492091992898
seuclidean,marques,counts,nmf2,2,0.19346074014787468
seuclidean,marques,counts,nmf2,16,0.06516390483107799
seuclidean,marques,counts,nmf2,96,-0.004976714232586955
seuclidean,marques,counts,nmf2,8,0.061325486318086986
seuclidean,marques,counts,nmf2,48,0.037355690930124426
seuclidean,marques,counts,srp,4,0.3569873827155319
seuclidean,marques,counts,srp,32,0.6160370216638063
seuclidean,marques,counts,srp,2,0.26009435428900446
seuclidean,marques,counts,srp,16,0.5591789324969101
seuclidean,marques,counts,srp,96,0.6802852588276005
seuclidean,marques,counts,srp,8,0.4263993884792393
seuclidean,marques,counts,srp,48,0.646162426475518
seuclidean,marques,counts,psmf,4,0.5548428459427963
seuclidean,marques,counts,psmf,32,0.6492735598310546
seuclidean,marques,counts,psmf,2,0.5484090809896499
seuclidean,marques,counts,psmf,16,0.5740905652480048
seuclidean,marques,counts,psmf,96,0.6846323318517267
seuclidean,marques,counts,psmf,8,0.568907621038024
seuclidean,marques,counts,psmf,48,0.640684628025034
seuclidean,marques,counts,fica,4,0.20140944275392084
seuclidean,marques,counts,fica,32,0.30292988936896803
seuclidean,marques,counts,fica,2,0.24594103447876542
seuclidean,marques,counts,fica,16,0.2559714326711448
seuclidean,marques,counts,fica,96,0.5419451729497129
seuclidean,marques,counts,fica,8,0.23874455544298484
seuclidean,marques,counts,fica,48,0.4020880590503538
seuclidean,marques,counts,lle,4,0.0033013789295476014
seuclidean,marques,counts,lle,32,0.03153023440689976
seuclidean,marques,counts,lle,2,0.16926673526347025
seuclidean,marques,counts,lle,16,0.07629894417515547
seuclidean,marques,counts,lle,96,-0.025486429332140105
