metric,dataset,count,method,dimensions,rho
seuclidean,marques,logcounts,spca,4,0.39104122736923114
seuclidean,marques,logcounts,spca,32,0.5479975729691633
seuclidean,marques,logcounts,spca,2,0.370588017808242
seuclidean,marques,logcounts,spca,16,0.45664921693895616
seuclidean,marques,logcounts,spca,96,0.5185489518941987
seuclidean,marques,logcounts,spca,8,0.4075293325443801
seuclidean,marques,logcounts,spca,48,0.5625067792166667
seuclidean,marques,logcounts,tsvd,4,0.377144273219734
seuclidean,marques,logcounts,tsvd,32,0.5398101761167118
seuclidean,marques,logcounts,tsvd,2,0.38746090907653163
seuclidean,marques,logcounts,tsvd,16,0.4511778182770024
seuclidean,marques,logcounts,tsvd,96,0.5536087302239595
seuclidean,marques,logcounts,tsvd,8,0.40766645276760816
seuclidean,marques,logcounts,tsvd,48,0.5621934798791806
seuclidean,marques,logcounts,spca-batch,4,0.3837942878328698
seuclidean,marques,logcounts,spca-batch,32,0.383027935975324
seuclidean,marques,logcounts,spca-batch,2,0.3383936076150631
seuclidean,marques,logcounts,spca-batch,16,0.38706730586092936
seuclidean,marques,logcounts,spca-batch,96,0.42443627096610737
seuclidean,marques,logcounts,spca-batch,8,0.35250792621772586
seuclidean,marques,logcounts,spca-batch,48,0.44861271122563023
seuclidean,marques,logcounts,zifa,4,0.3281286969374446
seuclidean,marques,logcounts,zifa,2,0.33108273449419473
seuclidean,marques,logcounts,zifa,16,0.2627163214504348
seuclidean,marques,logcounts,zifa,8,0.2888376587279307
seuclidean,marques,logcounts,nsnmf,4,0.3335966278018064
seuclidean,marques,logcounts,nsnmf,32,0.5109020958492029
seuclidean,marques,logcounts,nsnmf,2,0.2520300860021352
seuclidean,marques,logcounts,nsnmf,16,0.4811036991082201
seuclidean,marques,logcounts,nsnmf,96,0.5978932487996791
seuclidean,marques,logcounts,nsnmf,8,0.4048761375859807
seuclidean,marques,logcounts,nsnmf,48,0.5279092378235717
seuclidean,marques,logcounts,vpac,4,0.11734084917003863
seuclidean,marques,logcounts,vpac,32,0.34973199096244456
seuclidean,marques,logcounts,vpac,2,0.05580932536061119
seuclidean,marques,logcounts,vpac,16,0.0886382498257592
seuclidean,marques,logcounts,vpac,96,0.5742407789068844
seuclidean,marques,logcounts,vpac,8,-0.07314583858155002
seuclidean,marques,logcounts,vpac,48,0.3199460043539471
seuclidean,marques,logcounts,umap,4,0.18838698303779597
seuclidean,marques,logcounts,umap,32,0.2525010542305452
seuclidean,marques,logcounts,umap,2,0.2329963881509215
seuclidean,marques,logcounts,umap,16,0.19890670476715336
seuclidean,marques,logcounts,umap,96,0.22922074054444216
seuclidean,marques,logcounts,umap,8,0.24236875409403083
seuclidean,marques,logcounts,umap,48,0.26811386813083016
seuclidean,marques,logcounts,kpca-sig,4,0.16115657989929358
seuclidean,marques,logcounts,kpca-sig,32,-0.02818638380446473
seuclidean,marques,logcounts,kpca-sig,2,0.20080080081152327
seuclidean,marques,logcounts,kpca-sig,16,0.05354480092972403
seuclidean,marques,logcounts,kpca-sig,96,-0.11724709087311945
seuclidean,marques,logcounts,kpca-sig,8,0.12098505652380777
seuclidean,marques,logcounts,kpca-sig,48,-0.06662018999314993
seuclidean,marques,logcounts,nmf2,4,0.25327847901498424
seuclidean,marques,logcounts,nmf2,32,0.37542780591278824
seuclidean,marques,logcounts,nmf2,2,0.14384499428159395
seuclidean,marques,logcounts,nmf2,16,0.3888937252733827
seuclidean,marques,logcounts,nmf2,96,0.34680515769160924
seuclidean,marques,logcounts,nmf2,8,0.3151965418388928
seuclidean,marques,logcounts,nmf2,48,0.3299492416764184
seuclidean,marques,logcounts,srp,4,0.13098489222997167
seuclidean,marques,logcounts,srp,32,0.2846342209399535
seuclidean,marques,logcounts,srp,2,0.06511930576196456
seuclidean,marques,logcounts,srp,16,0.22153142551342367
seuclidean,marques,logcounts,srp,96,0.4638033733499722
seuclidean,marques,logcounts,srp,8,0.20021495951254253
seuclidean,marques,logcounts,srp,48,0.3751044676053677
seuclidean,marques,logcounts,psmf,4,0.45241353465257644
seuclidean,marques,logcounts,psmf,32,0.40913224553586575
seuclidean,marques,logcounts,psmf,2,0.4228896716328467
seuclidean,marques,logcounts,psmf,16,0.41430532754665517
seuclidean,marques,logcounts,psmf,96,0.2744475674192931
seuclidean,marques,logcounts,psmf,8,0.41811091632568176
seuclidean,marques,logcounts,psmf,48,0.31001165948502696
seuclidean,marques,logcounts,fica,4,0.3888464071420688
seuclidean,marques,logcounts,fica,32,0.5530089753053884
seuclidean,marques,logcounts,fica,2,0.3930910393411631
seuclidean,marques,logcounts,fica,16,0.45257622064136915
seuclidean,marques,logcounts,fica,96,0.5429881314805258
seuclidean,marques,logcounts,fica,8,0.41993143392741317
seuclidean,marques,logcounts,fica,48,0.5729123926113856
seuclidean,marques,logcounts,lle,4,0.2248228869342064
seuclidean,marques,logcounts,lle,32,0.14790134787222176
seuclidean,marques,logcounts,lle,2,0.059055214709211684
seuclidean,marques,logcounts,lle,16,0.22627895317690794
seuclidean,marques,logcounts,lle,96,0.019017534514504227
seuclidean,marques,logcounts,lle,8,0.2810920321167394
seuclidean,marques,logcounts,lle,48,0.07824741198547173
seuclidean,marques,logcounts,lsnmf,4,0.07715450903787881
seuclidean,marques,logcounts,lsnmf,32,0.09419567735219532
seuclidean,marques,logcounts,lsnmf,2,0.07426179697793893
seuclidean,marques,logcounts,lsnmf,16,0.34083054696318066
seuclidean,marques,logcounts,lsnmf,96,0.14724668272136496
seuclidean,marques,logcounts,lsnmf,8,0.375618400616894
seuclidean,marques,logcounts,lsnmf,48,0.17250764154908577
seuclidean,marques,logcounts,phate,4,0.35905378393508197
seuclidean,marques,logcounts,phate,32,0.3066430143712897
seuclidean,marques,logcounts,phate,2,0.32147237631575554
seuclidean,marques,logcounts,phate,16,0.3182946996537103
seuclidean,marques,logcounts,phate,96,0.2631561761451124
seuclidean,marques,logcounts,phate,8,0.3264065232812338
seuclidean,marques,logcounts,phate,48,0.3229162719009545
seuclidean,marques,logcounts,kpca-rbf,4,0.07865417919321357
seuclidean,marques,logcounts,kpca-rbf,32,0.024128037530396503
seuclidean,marques,logcounts,kpca-rbf,2,0.20430388503598695
seuclidean,marques,logcounts,kpca-rbf,16,0.05489581451350081
