metric,dataset,count,method,dimensions,rho
seuclidean,muraro,lognormcounts,spca,4,0.7147006222596743
seuclidean,muraro,lognormcounts,spca,32,0.8176474995619348
seuclidean,muraro,lognormcounts,spca,2,0.6251565752331215
seuclidean,muraro,lognormcounts,spca,16,0.7774675388173985
seuclidean,muraro,lognormcounts,spca,96,0.8533085543869396
seuclidean,muraro,lognormcounts,spca,8,0.7424417475539951
seuclidean,muraro,lognormcounts,spca,48,0.8300416350187773
seuclidean,muraro,lognormcounts,tsvd,4,0.6819067507900054
seuclidean,muraro,lognormcounts,tsvd,32,0.8009524852216561
seuclidean,muraro,lognormcounts,tsvd,2,0.6553122639077079
seuclidean,muraro,lognormcounts,tsvd,16,0.7673578269827834
seuclidean,muraro,lognormcounts,tsvd,96,0.8865768218980341
seuclidean,muraro,lognormcounts,tsvd,8,0.7014142238050397
seuclidean,muraro,lognormcounts,tsvd,48,0.8366546900506757
seuclidean,muraro,lognormcounts,spca-batch,4,0.7318656343104151
seuclidean,muraro,lognormcounts,spca-batch,32,0.7786435034819297
seuclidean,muraro,lognormcounts,spca-batch,2,0.6280995379311809
seuclidean,muraro,lognormcounts,spca-batch,16,0.7733613267703263
seuclidean,muraro,lognormcounts,spca-batch,96,0.8208352757890679
seuclidean,muraro,lognormcounts,spca-batch,8,0.7302413479769319
seuclidean,muraro,lognormcounts,spca-batch,48,0.800524625365933
seuclidean,muraro,lognormcounts,nsnmf,4,0.6909615081330528
seuclidean,muraro,lognormcounts,nsnmf,32,0.8377397336330416
seuclidean,muraro,lognormcounts,nsnmf,2,0.6108411869873575
seuclidean,muraro,lognormcounts,nsnmf,16,0.8322569203031194
seuclidean,muraro,lognormcounts,nsnmf,96,0.8884112431118302
seuclidean,muraro,lognormcounts,nsnmf,8,0.7377716971787301
seuclidean,muraro,lognormcounts,nsnmf,48,0.8652403889598241
seuclidean,muraro,lognormcounts,vpac,4,0.4465432662957764
seuclidean,muraro,lognormcounts,vpac,32,0.4647506170495957
seuclidean,muraro,lognormcounts,vpac,2,0.6448149823097752
seuclidean,muraro,lognormcounts,vpac,16,0.3521353629964802
seuclidean,muraro,lognormcounts,vpac,96,0.772454282859673
