metric,dataset,count,method,dimensions,rho
seuclidean,pollen,normcounts,spca,4,0.2533004448698445
seuclidean,pollen,normcounts,spca,32,0.5042717714334832
seuclidean,pollen,normcounts,spca,2,0.10743221074914182
seuclidean,pollen,normcounts,spca,16,0.27996470073936136
seuclidean,pollen,normcounts,spca,96,0.682636306105754
seuclidean,pollen,normcounts,spca,8,0.058764470602938206
seuclidean,pollen,normcounts,spca,48,0.5710953759820888
seuclidean,pollen,normcounts,tsvd,4,0.013517706526509835
seuclidean,pollen,normcounts,tsvd,32,0.4331531634551489
seuclidean,pollen,normcounts,tsvd,2,0.07050358776129845
seuclidean,pollen,normcounts,tsvd,16,0.2155206931975698
seuclidean,pollen,normcounts,tsvd,96,0.6489842580453458
seuclidean,pollen,normcounts,tsvd,8,0.05824621801174669
seuclidean,pollen,normcounts,tsvd,48,0.5192041283598391
seuclidean,pollen,normcounts,spca-batch,4,0.09451203786699339
seuclidean,pollen,normcounts,spca-batch,32,0.36072971771479817
seuclidean,pollen,normcounts,spca-batch,2,0.00642741164674578
seuclidean,pollen,normcounts,spca-batch,16,0.24722725079726787
seuclidean,pollen,normcounts,spca-batch,96,0.5880532880075671
seuclidean,pollen,normcounts,spca-batch,8,-0.10834931460970985
seuclidean,pollen,normcounts,spca-batch,48,0.37269295192579993
seuclidean,pollen,normcounts,nsnmf,4,0.2589249519060081
seuclidean,pollen,normcounts,nsnmf,32,0.4199256677217598
seuclidean,pollen,normcounts,nsnmf,2,0.16517653265524165
seuclidean,pollen,normcounts,nsnmf,16,0.30850235194955683
seuclidean,pollen,normcounts,nsnmf,96,0.4501480345249801
seuclidean,pollen,normcounts,nsnmf,8,0.3838893691044706
seuclidean,pollen,normcounts,nsnmf,48,0.45975983835636175
seuclidean,pollen,normcounts,vpac,4,0.3766213139044728
seuclidean,pollen,normcounts,vpac,32,0.4989827667861536
seuclidean,pollen,normcounts,vpac,2,0.40943718680099866
seuclidean,pollen,normcounts,vpac,16,0.41242170314019
seuclidean,pollen,normcounts,vpac,96,0.6156413573456729
seuclidean,pollen,normcounts,vpac,8,-0.21310898770111666
seuclidean,pollen,normcounts,vpac,48,0.5824480449886726
seuclidean,pollen,normcounts,umap,4,-0.0994888159179977
seuclidean,pollen,normcounts,umap,32,0.24106503342663968
seuclidean,pollen,normcounts,umap,2,0.0264332623905547
seuclidean,pollen,normcounts,umap,16,-0.062404149613104545
seuclidean,pollen,normcounts,umap,96,0.05127198923709581
seuclidean,pollen,normcounts,umap,8,-0.13871541130981146
seuclidean,pollen,normcounts,umap,48,0.10034521045043403
seuclidean,pollen,normcounts,kpca-sig,4,nan
seuclidean,pollen,normcounts,kpca-sig,32,nan
seuclidean,pollen,normcounts,kpca-sig,2,nan
seuclidean,pollen,normcounts,kpca-sig,16,nan
seuclidean,pollen,normcounts,kpca-sig,96,nan
seuclidean,pollen,normcounts,kpca-sig,8,nan
seuclidean,pollen,normcounts,kpca-sig,48,nan
seuclidean,pollen,normcounts,nmf2,4,0.10495358266481923
seuclidean,pollen,normcounts,nmf2,32,-0.14404399450551056
seuclidean,pollen,normcounts,nmf2,2,0.16970659705713703
seuclidean,pollen,normcounts,nmf2,16,-0.09866594928483327
seuclidean,pollen,normcounts,nmf2,96,0.0014422407013478327
seuclidean,pollen,normcounts,nmf2,8,0.01437331853453348
seuclidean,pollen,normcounts,nmf2,48,0.01948657913596533
seuclidean,pollen,normcounts,srp,4,0.38959405978974165
seuclidean,pollen,normcounts,srp,32,0.4593235327950093
seuclidean,pollen,normcounts,srp,2,0.39174838467047723
seuclidean,pollen,normcounts,srp,16,0.46388269800548165
seuclidean,pollen,normcounts,srp,96,0.6335834693931556
seuclidean,pollen,normcounts,srp,8,0.5778055672467057
seuclidean,pollen,normcounts,srp,48,0.6063884974991279
seuclidean,pollen,normcounts,psmf,4,0.4819256417091441
seuclidean,pollen,normcounts,psmf,32,0.6894249992940045
seuclidean,pollen,normcounts,psmf,2,0.5824006474920528
seuclidean,pollen,normcounts,psmf,16,0.48119811528541506
seuclidean,pollen,normcounts,psmf,96,0.767672122624037
seuclidean,pollen,normcounts,psmf,8,0.5368773085349351
seuclidean,pollen,normcounts,psmf,48,0.7088282797578388
seuclidean,pollen,normcounts,fica,4,0.25329463549639997
seuclidean,pollen,normcounts,fica,32,0.4756541900694842
seuclidean,pollen,normcounts,fica,2,0.10744783569260927
seuclidean,pollen,normcounts,fica,16,0.2604091483765843
seuclidean,pollen,normcounts,fica,96,0.6555203178107792
seuclidean,pollen,normcounts,fica,8,0.058735921793008135
seuclidean,pollen,normcounts,fica,48,0.5430571270643879
seuclidean,pollen,normcounts,lle,4,0.35317051806696304
seuclidean,pollen,normcounts,lle,32,-0.23657830946963512
seuclidean,pollen,normcounts,lle,2,-0.03799419660821499
seuclidean,pollen,normcounts,lle,16,-0.2200773996136082
seuclidean,pollen,normcounts,lle,96,-0.18131115068624437
seuclidean,pollen,normcounts,lle,8,0.09665952595750242
seuclidean,pollen,normcounts,lle,48,-0.21963474868211288
seuclidean,pollen,normcounts,lsnmf,4,-0.014202291787955212
seuclidean,pollen,normcounts,lsnmf,32,0.03343982634850791
seuclidean,pollen,normcounts,lsnmf,2,-0.004681112012721733
seuclidean,pollen,normcounts,lsnmf,16,-0.0023229610107845335
seuclidean,pollen,normcounts,lsnmf,96,-0.04509920131474752
seuclidean,pollen,normcounts,lsnmf,8,-0.030020115037890968
seuclidean,pollen,normcounts,lsnmf,48,0.02478599676430947
seuclidean,pollen,normcounts,phate,4,-0.028921055377782737
seuclidean,pollen,normcounts,phate,32,-0.3199228194460106
seuclidean,pollen,normcounts,phate,2,-0.04352866019475799
seuclidean,pollen,normcounts,phate,16,-0.23642615224474062
seuclidean,pollen,normcounts,phate,96,-0.30774690561552825
seuclidean,pollen,normcounts,phate,8,-0.12211177153025715
seuclidean,pollen,normcounts,phate,48,-0.34472663486589067
seuclidean,pollen,normcounts,kpca-rbf,4,-0.10348909683555332
seuclidean,pollen,normcounts,kpca-rbf,32,-0.07966097197220169
seuclidean,pollen,normcounts,kpca-rbf,2,-0.04542735629794742
seuclidean,pollen,normcounts,kpca-rbf,16,-0.13999326008239082
seuclidean,pollen,normcounts,kpca-rbf,96,0.08054660024670339
seuclidean,pollen,normcounts,kpca-rbf,8,-0.02781138320300737
seuclidean,pollen,normcounts,kpca-rbf,48,-0.1115192045679382
seuclidean,pollen,normcounts,isomap,4,0.1270801948926866
seuclidean,pollen,normcounts,isomap,32,0.21486799580933097
seuclidean,pollen,normcounts,isomap,2,0.2964328137548131
seuclidean,pollen,normcounts,isomap,16,0.10423600729246989
seuclidean,pollen,normcounts,isomap,96,0.49329845016607893
seuclidean,pollen,normcounts,isomap,8,0.0015714200668209965
seuclidean,pollen,normcounts,isomap,48,0.40688221771909355
seuclidean,pollen,normcounts,saucie,4,0.040980243433180366
seuclidean,pollen,normcounts,saucie,32,0.04327099824857945
seuclidean,pollen,normcounts,saucie,2,0.021932100854056655
seuclidean,pollen,normcounts,saucie,16,0.015372444377867767
seuclidean,pollen,normcounts,saucie,96,-0.05618943429992097
seuclidean,pollen,normcounts,saucie,8,-8.631228431488798e-05
seuclidean,pollen,normcounts,saucie,48,0.01580128383360358
seuclidean,pollen,normcounts,bd,4,0.004341340610942768
seuclidean,pollen,normcounts,bd,32,0.339914960395583
seuclidean,pollen,normcounts,bd,2,0.16472600591260672
seuclidean,pollen,normcounts,bd,16,0.2409784551110513
seuclidean,pollen,normcounts,bd,96,0.6194359352575525
seuclidean,pollen,normcounts,bd,8,0.10594300320397082
seuclidean,pollen,normcounts,bd,48,0.40988861833640755
seuclidean,pollen,normcounts,lda,4,0.30951506301744536
seuclidean,pollen,normcounts,lda,32,0.5407026195308106
seuclidean,pollen,normcounts,lda,2,0.4502531093434137
seuclidean,pollen,normcounts,lda,16,0.5266927250303001
seuclidean,pollen,normcounts,lda,96,0.2349593776489254
seuclidean,pollen,normcounts,lda,8,0.6143433770460109
seuclidean,pollen,normcounts,lda,48,0.3231074742419163
seuclidean,pollen,normcounts,spectral,4,0.34262661506651865
seuclidean,pollen,normcounts,spectral,32,0.12367231043197764
seuclidean,pollen,normcounts,spectral,2,0.12370313639857611
seuclidean,pollen,normcounts,spectral,16,0.2401376523524425
seuclidean,pollen,normcounts,spectral,96,0.2657763708369368
seuclidean,pollen,normcounts,spectral,8,-0.09143576492073831
seuclidean,pollen,normcounts,spectral,48,0.25455056131800285
seuclidean,pollen,normcounts,grp,4,0.06684375777096616
seuclidean,pollen,normcounts,grp,32,0.28350205096043035
seuclidean,pollen,normcounts,grp,2,0.1733244004592468
seuclidean,pollen,normcounts,grp,16,0.18269051099025516
seuclidean,pollen,normcounts,grp,96,0.2758956982756164
seuclidean,pollen,normcounts,grp,8,0.19534293337717695
seuclidean,pollen,normcounts,grp,48,0.2951329468161035
seuclidean,pollen,normcounts,fa,4,0.576459434476028
seuclidean,pollen,normcounts,fa,32,0.6507906393921052
seuclidean,pollen,normcounts,fa,2,0.5444783502751775
seuclidean,pollen,normcounts,fa,16,0.6427657861192412
seuclidean,pollen,normcounts,fa,96,0.6980100634543612
seuclidean,pollen,normcounts,fa,8,0.46251069043895826
seuclidean,pollen,normcounts,fa,48,0.7497406549482697
seuclidean,pollen,normcounts,mctsne,4,0.19442064702948086
seuclidean,pollen,normcounts,mctsne,32,nan
seuclidean,pollen,normcounts,mctsne,2,0.134305797867284
seuclidean,pollen,normcounts,mctsne,16,0.16354260937026097
seuclidean,pollen,normcounts,mctsne,96,-0.15867078677070465
seuclidean,pollen,normcounts,mctsne,8,0.20351122757963702
seuclidean,pollen,normcounts,mctsne,48,0.2316875377906564
seuclidean,pollen,normcounts,nmf,4,0.005315029494070661
seuclidean,pollen,normcounts,nmf,32,0.4347743784668536
seuclidean,pollen,normcounts,nmf,2,0.16777226427209713
seuclidean,pollen,normcounts,nmf,16,0.22594480958040528
seuclidean,pollen,normcounts,nmf,96,0.6162794327645348
seuclidean,pollen,normcounts,nmf,8,0.10571399060304841
seuclidean,pollen,normcounts,nmf,48,0.5014725699932169
seuclidean,pollen,normcounts,kpca-pol,4,-0.09963623754736559
seuclidean,pollen,normcounts,kpca-pol,32,-0.11237599205085985
seuclidean,pollen,normcounts,kpca-pol,2,-0.08769434853407546
seuclidean,pollen,normcounts,kpca-pol,16,-0.1325188528987048
seuclidean,pollen,normcounts,kpca-pol,96,0.21279570042830068
seuclidean,pollen,normcounts,kpca-pol,8,-0.024753838815228007
seuclidean,pollen,normcounts,kpca-pol,48,-0.03607164474875834
seuclidean,pollen,normcounts,vasc,4,0.3729461344022607
seuclidean,pollen,normcounts,vasc,32,0.2871157266512053
seuclidean,pollen,normcounts,vasc,2,0.35329840851885447
seuclidean,pollen,normcounts,vasc,16,0.44146511891497836
seuclidean,pollen,normcounts,vasc,96,nan
seuclidean,pollen,normcounts,vasc,8,0.44982621681916185
seuclidean,pollen,normcounts,vasc,48,0.45873528855749024
seuclidean,pollen,normcounts,kpca-cos,4,0.24110754848342383
seuclidean,pollen,normcounts,kpca-cos,32,0.5760631137191088
seuclidean,pollen,normcounts,kpca-cos,2,0.03594876081223487
seuclidean,pollen,normcounts,kpca-cos,16,0.4205762362745607
seuclidean,pollen,normcounts,kpca-cos,96,0.6684718660633587
seuclidean,pollen,normcounts,kpca-cos,8,0.006479060778992879
seuclidean,pollen,normcounts,kpca-cos,48,0.6416147427551213
seuclidean,pollen,normcounts,pca,4,0.2532946502070739
seuclidean,pollen,normcounts,pca,32,0.475304100441267
seuclidean,pollen,normcounts,pca,2,0.10744782926557148
seuclidean,pollen,normcounts,pca,16,0.26041610508676993
seuclidean,pollen,normcounts,pca,96,0.65711479382363
seuclidean,pollen,normcounts,pca,8,0.05873590272688992
seuclidean,pollen,normcounts,pca,48,0.5473473713307196
seuclidean,pollen,normcounts,pmf,4,0.2606316073011956
seuclidean,pollen,normcounts,pmf,32,0.5621925284370896
seuclidean,pollen,normcounts,pmf,2,0.14760216215503563
seuclidean,pollen,normcounts,pmf,16,0.4365461808887721
seuclidean,pollen,normcounts,pmf,96,0.5565394359656812
seuclidean,pollen,normcounts,pmf,8,0.29166408991795306
seuclidean,pollen,normcounts,pmf,48,0.5802225104180655
seuclidean,pollen,normcounts,snmf,4,0.003911211822215066
seuclidean,pollen,normcounts,snmf,32,nan
seuclidean,pollen,normcounts,snmf,2,0.16505770349169202
seuclidean,pollen,normcounts,snmf,16,-0.0673292062830652
seuclidean,pollen,normcounts,snmf,96,nan
seuclidean,pollen,normcounts,snmf,8,0.10546596792775202
seuclidean,pollen,normcounts,snmf,48,nan
seuclidean,pollen,normcounts,ipca,4,0.25329464218706427
seuclidean,pollen,normcounts,ipca,32,0.4756541905590577
seuclidean,pollen,normcounts,ipca,2,0.10744782898447414
seuclidean,pollen,normcounts,ipca,16,0.260409150914935
seuclidean,pollen,normcounts,ipca,96,0.6555203146290076
seuclidean,pollen,normcounts,ipca,8,0.05873591711709206
seuclidean,pollen,normcounts,ipca,48,0.5430571247221274
seuclidean,pollen,normcounts,icm,4,-0.15704593479321435
seuclidean,pollen,normcounts,icm,32,-0.0410312940422311
seuclidean,pollen,normcounts,icm,2,-0.1754976538980471
seuclidean,pollen,normcounts,icm,16,-0.22142624714090656
seuclidean,pollen,normcounts,icm,96,0.29014366101109956
seuclidean,pollen,normcounts,icm,8,-0.20115466230921142
seuclidean,pollen,normcounts,icm,48,0.09274726368253909
seuclidean,pollen,normcounts,ivis,4,0.2650761193320438
seuclidean,pollen,normcounts,ivis,32,0.32742575004131114
seuclidean,pollen,normcounts,ivis,2,0.10307716536448092
seuclidean,pollen,normcounts,ivis,16,0.1498194402350381
seuclidean,pollen,normcounts,ivis,96,0.15002282414109847
seuclidean,pollen,normcounts,ivis,8,0.08860293931692488
seuclidean,pollen,normcounts,ivis,48,0.053020656994320674
