metric,dataset,count,method,dimensions,rho
seuclidean,romanov,logcounts,spca,4,0.37828547415802655
seuclidean,romanov,logcounts,spca,32,0.4572790172008045
seuclidean,romanov,logcounts,spca,2,0.1567576035817359
seuclidean,romanov,logcounts,spca,16,0.34868053574379476
seuclidean,romanov,logcounts,spca,96,0.5081036393112487
seuclidean,romanov,logcounts,spca,8,0.3480773848796849
seuclidean,romanov,logcounts,spca,48,0.5127132062155704
seuclidean,romanov,logcounts,tsvd,4,0.414955173491574
seuclidean,romanov,logcounts,tsvd,32,0.461496530919801
seuclidean,romanov,logcounts,tsvd,2,0.22576606452390074
seuclidean,romanov,logcounts,tsvd,16,0.3447377452000661
seuclidean,romanov,logcounts,tsvd,96,0.5055268576091919
seuclidean,romanov,logcounts,tsvd,8,0.3121143864873726
seuclidean,romanov,logcounts,tsvd,48,0.5022899871909436
seuclidean,romanov,logcounts,spca-batch,4,0.3317357695551815
seuclidean,romanov,logcounts,spca-batch,32,0.3268963848756952
seuclidean,romanov,logcounts,spca-batch,2,0.2102540112077798
seuclidean,romanov,logcounts,spca-batch,16,0.31957945614390587
seuclidean,romanov,logcounts,spca-batch,96,0.38925285710302304
seuclidean,romanov,logcounts,spca-batch,8,0.3583230166157645
seuclidean,romanov,logcounts,spca-batch,48,0.44172264385515464
seuclidean,romanov,logcounts,zifa,4,0.2207045901816642
seuclidean,romanov,logcounts,zifa,32,0.1877317266855108
seuclidean,romanov,logcounts,zifa,2,0.05035449439671105
seuclidean,romanov,logcounts,zifa,16,0.20701618094320093
seuclidean,romanov,logcounts,zifa,8,0.23153640316067028
seuclidean,romanov,logcounts,nsnmf,4,0.43926579846070135
seuclidean,romanov,logcounts,nsnmf,32,0.6035066584080364
seuclidean,romanov,logcounts,nsnmf,2,0.35920765722782794
seuclidean,romanov,logcounts,nsnmf,16,0.5409580734606145
seuclidean,romanov,logcounts,nsnmf,96,0.603344069934386
seuclidean,romanov,logcounts,nsnmf,8,0.49158731662552446
seuclidean,romanov,logcounts,nsnmf,48,0.6116649998107284
seuclidean,romanov,logcounts,vpac,4,0.30079228072755776
seuclidean,romanov,logcounts,vpac,32,0.3752414286593909
seuclidean,romanov,logcounts,vpac,2,-0.07144673098358424
seuclidean,romanov,logcounts,vpac,16,0.11023502473541952
seuclidean,romanov,logcounts,vpac,96,0.5414035527706408
seuclidean,romanov,logcounts,vpac,8,0.09449892150714341
seuclidean,romanov,logcounts,vpac,48,0.386315419706741
seuclidean,romanov,logcounts,umap,4,0.10429389122922621
seuclidean,romanov,logcounts,umap,32,0.06937846223261636
seuclidean,romanov,logcounts,umap,2,0.1880257157539018
seuclidean,romanov,logcounts,umap,16,0.07948345448133778
seuclidean,romanov,logcounts,umap,96,0.07368648388753127
seuclidean,romanov,logcounts,umap,8,0.09845833400467358
seuclidean,romanov,logcounts,umap,48,-0.0337435266635166
