metric,dataset,count,method,dimensions,rho
seuclidean,shekhar,logcounts,spca,4,0.5707733504031594
seuclidean,shekhar,logcounts,spca,32,0.5379926379189399
seuclidean,shekhar,logcounts,spca,2,0.5741952721749155
seuclidean,shekhar,logcounts,spca,16,0.5789511724225449
seuclidean,shekhar,logcounts,spca,96,0.34405401319596807
seuclidean,shekhar,logcounts,spca,8,0.5967486745045
seuclidean,shekhar,logcounts,spca,48,0.48176583805389855
seuclidean,shekhar,logcounts,tsvd,4,0.5731311199979935
seuclidean,shekhar,logcounts,tsvd,32,0.4116490033387654
seuclidean,shekhar,logcounts,tsvd,2,0.5504687222737645
seuclidean,shekhar,logcounts,tsvd,16,0.5183308940140645
seuclidean,shekhar,logcounts,tsvd,96,0.24000206123329929
seuclidean,shekhar,logcounts,tsvd,8,0.5670216987938622
seuclidean,shekhar,logcounts,tsvd,48,0.35085511725186525
seuclidean,shekhar,logcounts,spca-batch,4,0.5931524559180259
seuclidean,shekhar,logcounts,spca-batch,32,0.5217884165034853
seuclidean,shekhar,logcounts,spca-batch,2,0.5008192012838129
seuclidean,shekhar,logcounts,spca-batch,16,0.5178773979676062
seuclidean,shekhar,logcounts,spca-batch,96,0.5852024588729754
seuclidean,shekhar,logcounts,spca-batch,8,0.46227051211834064
seuclidean,shekhar,logcounts,spca-batch,48,0.5169480935236757
seuclidean,shekhar,logcounts,zifa,4,0.48536473952255227
seuclidean,shekhar,logcounts,zifa,2,0.5071822453334524
seuclidean,shekhar,logcounts,zifa,8,0.49979561291160207
seuclidean,shekhar,logcounts,nsnmf,4,0.5275619798518534
seuclidean,shekhar,logcounts,nsnmf,32,0.7448190880199382
seuclidean,shekhar,logcounts,nsnmf,2,0.5119630351992372
seuclidean,shekhar,logcounts,nsnmf,16,0.68059121700033
seuclidean,shekhar,logcounts,nsnmf,96,0.6687768160297045
seuclidean,shekhar,logcounts,nsnmf,8,0.6374904575015767
seuclidean,shekhar,logcounts,nsnmf,48,0.6792034370894856
