metric,dataset,count,method,dimensions,rho
seuclidean,tasic-rpkms,normcounts,spca,4,0.3315262122285908
seuclidean,tasic-rpkms,normcounts,spca,32,0.5306309366981393
seuclidean,tasic-rpkms,normcounts,spca,2,0.22714653879318655
seuclidean,tasic-rpkms,normcounts,spca,16,0.459939231168458
seuclidean,tasic-rpkms,normcounts,spca,96,0.6100032975406509
seuclidean,tasic-rpkms,normcounts,spca,8,0.42284692997636925
seuclidean,tasic-rpkms,normcounts,spca,48,0.5688992055881076
seuclidean,tasic-rpkms,normcounts,tsvd,4,0.3056380445550874
seuclidean,tasic-rpkms,normcounts,tsvd,32,0.5034379437730989
seuclidean,tasic-rpkms,normcounts,tsvd,2,0.09978092388702536
seuclidean,tasic-rpkms,normcounts,tsvd,16,0.44611128283693297
seuclidean,tasic-rpkms,normcounts,tsvd,96,0.5877924969285727
seuclidean,tasic-rpkms,normcounts,tsvd,8,0.3700546136374256
seuclidean,tasic-rpkms,normcounts,tsvd,48,0.5454583243704432
seuclidean,tasic-rpkms,normcounts,spca-batch,4,0.25279034205961404
seuclidean,tasic-rpkms,normcounts,spca-batch,32,0.4387248919504378
seuclidean,tasic-rpkms,normcounts,spca-batch,2,0.30053414277793766
seuclidean,tasic-rpkms,normcounts,spca-batch,16,0.4176210232039288
seuclidean,tasic-rpkms,normcounts,spca-batch,96,0.4832078057504373
seuclidean,tasic-rpkms,normcounts,spca-batch,8,0.3401093108231698
seuclidean,tasic-rpkms,normcounts,spca-batch,48,0.40429062745568967
seuclidean,tasic-rpkms,normcounts,zifa,32,0.6058903585058194
seuclidean,tasic-rpkms,normcounts,zifa,2,0.45412725474316723
seuclidean,tasic-rpkms,normcounts,zifa,8,0.5875024836764959
seuclidean,tasic-rpkms,normcounts,zifa,48,0.6350835618673615
seuclidean,tasic-rpkms,normcounts,nsnmf,4,0.3406094159180032
seuclidean,tasic-rpkms,normcounts,nsnmf,32,0.46941250363173964
seuclidean,tasic-rpkms,normcounts,nsnmf,2,0.3090422259328077
seuclidean,tasic-rpkms,normcounts,nsnmf,16,0.4097041035027403
seuclidean,tasic-rpkms,normcounts,nsnmf,96,0.38816004208949095
seuclidean,tasic-rpkms,normcounts,nsnmf,8,0.37581473719069247
seuclidean,tasic-rpkms,normcounts,nsnmf,48,0.40770844054657046
seuclidean,tasic-rpkms,normcounts,vpac,4,0.37088233244551616
seuclidean,tasic-rpkms,normcounts,vpac,32,0.42118323624876974
seuclidean,tasic-rpkms,normcounts,vpac,2,0.6042936128461258
seuclidean,tasic-rpkms,normcounts,vpac,16,0.40223227359553704
seuclidean,tasic-rpkms,normcounts,vpac,96,0.5383380385040595
seuclidean,tasic-rpkms,normcounts,vpac,8,0.4223474233346468
seuclidean,tasic-rpkms,normcounts,vpac,48,0.4451462124351179
seuclidean,tasic-rpkms,normcounts,umap,4,0.24977241807486716
seuclidean,tasic-rpkms,normcounts,umap,32,0.3498777115106842
seuclidean,tasic-rpkms,normcounts,umap,2,0.2166799883120173
seuclidean,tasic-rpkms,normcounts,umap,16,0.3356641432253665
seuclidean,tasic-rpkms,normcounts,umap,96,0.2726505836541188
seuclidean,tasic-rpkms,normcounts,umap,8,0.24999214589632573
seuclidean,tasic-rpkms,normcounts,umap,48,0.31527361362163664
seuclidean,tasic-rpkms,normcounts,kpca-sig,4,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,32,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,2,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,16,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,96,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,8,nan
seuclidean,tasic-rpkms,normcounts,kpca-sig,48,nan
seuclidean,tasic-rpkms,normcounts,nmf2,4,0.24691802628757206
seuclidean,tasic-rpkms,normcounts,nmf2,32,0.3583404846843295
seuclidean,tasic-rpkms,normcounts,nmf2,2,0.09927338037093966
seuclidean,tasic-rpkms,normcounts,nmf2,16,0.2928724735607944
seuclidean,tasic-rpkms,normcounts,nmf2,96,0.27824741800227626
seuclidean,tasic-rpkms,normcounts,nmf2,8,0.2544139756644519
seuclidean,tasic-rpkms,normcounts,nmf2,48,0.3077804819778065
seuclidean,tasic-rpkms,normcounts,srp,4,0.5302367386202992
seuclidean,tasic-rpkms,normcounts,srp,32,0.6390506163210063
seuclidean,tasic-rpkms,normcounts,srp,2,0.23263686245080012
seuclidean,tasic-rpkms,normcounts,srp,16,0.5550405209395654
seuclidean,tasic-rpkms,normcounts,srp,96,0.6447544686433819
seuclidean,tasic-rpkms,normcounts,srp,8,0.5431895001684679
seuclidean,tasic-rpkms,normcounts,srp,48,0.627638401057926
seuclidean,tasic-rpkms,normcounts,psmf,4,0.5544261777207655
seuclidean,tasic-rpkms,normcounts,psmf,32,0.6304005101028933
seuclidean,tasic-rpkms,normcounts,psmf,2,0.4519962458910101
seuclidean,tasic-rpkms,normcounts,psmf,16,0.6126535455989475
seuclidean,tasic-rpkms,normcounts,psmf,96,0.6365601333899726
seuclidean,tasic-rpkms,normcounts,psmf,8,0.5466265170590345
seuclidean,tasic-rpkms,normcounts,psmf,48,0.5981014790398115
seuclidean,tasic-rpkms,normcounts,fica,4,0.33152236077069724
seuclidean,tasic-rpkms,normcounts,fica,32,0.5249889999880222
seuclidean,tasic-rpkms,normcounts,fica,2,0.22715442581645498
seuclidean,tasic-rpkms,normcounts,fica,16,0.4670601619223307
seuclidean,tasic-rpkms,normcounts,fica,96,0.5984596029962076
seuclidean,tasic-rpkms,normcounts,fica,8,0.4228453827836364
seuclidean,tasic-rpkms,normcounts,fica,48,0.5609596748027895
seuclidean,tasic-rpkms,normcounts,lle,4,0.04864361790592331
seuclidean,tasic-rpkms,normcounts,lle,32,0.10843421531813771
