metric,dataset,count,method,dimensions,rho
seuclidean,treutlein,lognormcounts,spca,4,0.4322633184808937
seuclidean,treutlein,lognormcounts,spca,32,0.44338761934606336
seuclidean,treutlein,lognormcounts,spca,2,0.26832797557331933
seuclidean,treutlein,lognormcounts,spca,16,0.5411916426161771
seuclidean,treutlein,lognormcounts,spca,96,0.3205529252296485
seuclidean,treutlein,lognormcounts,spca,8,0.5112943571556386
seuclidean,treutlein,lognormcounts,spca,48,0.34796537442938663
seuclidean,treutlein,lognormcounts,tsvd,4,0.5193364061052677
seuclidean,treutlein,lognormcounts,tsvd,32,0.9182220766759122
seuclidean,treutlein,lognormcounts,tsvd,2,0.3220986595961401
seuclidean,treutlein,lognormcounts,tsvd,16,0.9001785520695443
seuclidean,treutlein,lognormcounts,tsvd,96,0.09457834480600069
seuclidean,treutlein,lognormcounts,tsvd,8,0.7589770845450229
seuclidean,treutlein,lognormcounts,tsvd,48,0.855849835804238
seuclidean,treutlein,lognormcounts,spca-batch,4,0.3998001579035996
seuclidean,treutlein,lognormcounts,spca-batch,32,0.4451692709252873
seuclidean,treutlein,lognormcounts,spca-batch,2,0.18460064706272108
seuclidean,treutlein,lognormcounts,spca-batch,16,0.47273099750444286
seuclidean,treutlein,lognormcounts,spca-batch,96,0.5383969530470197
seuclidean,treutlein,lognormcounts,spca-batch,8,0.46121050088789833
seuclidean,treutlein,lognormcounts,spca-batch,48,0.5330967239846153
seuclidean,treutlein,lognormcounts,nsnmf,4,0.45673188515743546
seuclidean,treutlein,lognormcounts,nsnmf,32,0.45154149959711415
seuclidean,treutlein,lognormcounts,nsnmf,2,0.3312618342180904
seuclidean,treutlein,lognormcounts,nsnmf,16,0.6604677690012273
seuclidean,treutlein,lognormcounts,nsnmf,96,0.09463954331772427
seuclidean,treutlein,lognormcounts,nsnmf,8,0.6083326802726075
seuclidean,treutlein,lognormcounts,nsnmf,48,0.45012737755033433
seuclidean,treutlein,lognormcounts,vpac,4,0.3471916884720877
seuclidean,treutlein,lognormcounts,vpac,32,0.8449091936031256
seuclidean,treutlein,lognormcounts,vpac,2,0.4214188895614998
seuclidean,treutlein,lognormcounts,vpac,16,0.7794618887622091
seuclidean,treutlein,lognormcounts,vpac,8,0.5942420138735464
seuclidean,treutlein,lognormcounts,vpac,48,0.7882639110101445
seuclidean,treutlein,lognormcounts,umap,4,0.24975514681731134
seuclidean,treutlein,lognormcounts,umap,32,0.3422186294279861
seuclidean,treutlein,lognormcounts,umap,2,0.3510323430696597
seuclidean,treutlein,lognormcounts,umap,16,0.28485744396454704
seuclidean,treutlein,lognormcounts,umap,8,0.3388618509008494
seuclidean,treutlein,lognormcounts,umap,48,0.3277295132720631
seuclidean,treutlein,lognormcounts,kpca-sig,4,0.33606553709389303
seuclidean,treutlein,lognormcounts,kpca-sig,32,0.07410982099625468
seuclidean,treutlein,lognormcounts,kpca-sig,2,0.16785011348006823
seuclidean,treutlein,lognormcounts,kpca-sig,16,0.20567225595757663
seuclidean,treutlein,lognormcounts,kpca-sig,96,nan
seuclidean,treutlein,lognormcounts,kpca-sig,8,0.29466035759616416
seuclidean,treutlein,lognormcounts,kpca-sig,48,0.04127844711700966
seuclidean,treutlein,lognormcounts,nmf2,4,0.6010085824596001
seuclidean,treutlein,lognormcounts,nmf2,32,0.7053255935645074
seuclidean,treutlein,lognormcounts,nmf2,2,0.43609577240792063
seuclidean,treutlein,lognormcounts,nmf2,16,0.6845216758679491
seuclidean,treutlein,lognormcounts,nmf2,96,0.5786355358199443
seuclidean,treutlein,lognormcounts,nmf2,8,0.6161178471344432
seuclidean,treutlein,lognormcounts,nmf2,48,0.6805538827351344
seuclidean,treutlein,lognormcounts,srp,4,0.23828458781212342
