metric,dataset,count,method,dimensions,rho
seuclidean,treutlein,normcounts,spca,4,0.4060024394294781
seuclidean,treutlein,normcounts,spca,32,0.6409128745800499
seuclidean,treutlein,normcounts,spca,2,0.2365567874549303
seuclidean,treutlein,normcounts,spca,16,0.5818954495356105
seuclidean,treutlein,normcounts,spca,96,0.5483255669400897
seuclidean,treutlein,normcounts,spca,8,0.5008229820118383
seuclidean,treutlein,normcounts,spca,48,0.5526349249985283
seuclidean,treutlein,normcounts,tsvd,4,0.4346889698893351
seuclidean,treutlein,normcounts,tsvd,32,0.8359719473786352
seuclidean,treutlein,normcounts,tsvd,2,0.21838799574254228
seuclidean,treutlein,normcounts,tsvd,16,0.7798396330048575
seuclidean,treutlein,normcounts,tsvd,96,-0.038150769784325904
seuclidean,treutlein,normcounts,tsvd,8,0.5996613998502788
seuclidean,treutlein,normcounts,tsvd,48,0.8027426626198313
seuclidean,treutlein,normcounts,spca-batch,4,0.3354443214686128
seuclidean,treutlein,normcounts,spca-batch,32,0.41482754935635974
seuclidean,treutlein,normcounts,spca-batch,2,0.27104686940675926
seuclidean,treutlein,normcounts,spca-batch,16,0.5198265060754499
seuclidean,treutlein,normcounts,spca-batch,96,0.6473108244702183
seuclidean,treutlein,normcounts,spca-batch,8,0.44685626340112655
seuclidean,treutlein,normcounts,spca-batch,48,0.5779440577438861
seuclidean,treutlein,normcounts,nsnmf,4,0.44818740556883563
seuclidean,treutlein,normcounts,nsnmf,32,0.4778777613844229
seuclidean,treutlein,normcounts,nsnmf,2,0.23352360988223697
seuclidean,treutlein,normcounts,nsnmf,16,0.505644046852632
seuclidean,treutlein,normcounts,nsnmf,96,0.12277234483354163
seuclidean,treutlein,normcounts,nsnmf,8,0.5375230606305001
seuclidean,treutlein,normcounts,nsnmf,48,0.4668795171166503
seuclidean,treutlein,normcounts,vpac,4,0.36113542619054817
seuclidean,treutlein,normcounts,vpac,32,0.8141796032111414
seuclidean,treutlein,normcounts,vpac,2,nan
seuclidean,treutlein,normcounts,vpac,16,0.7681019076077789
seuclidean,treutlein,normcounts,vpac,8,0.5399660622148031
seuclidean,treutlein,normcounts,vpac,48,0.7821600052057753
seuclidean,treutlein,normcounts,umap,4,0.22278089005090157
seuclidean,treutlein,normcounts,umap,32,0.3924370194377683
seuclidean,treutlein,normcounts,umap,2,0.2957509562685781
seuclidean,treutlein,normcounts,umap,16,0.40651445615184856
seuclidean,treutlein,normcounts,umap,8,0.3080210874972187
seuclidean,treutlein,normcounts,umap,48,0.37925485986039387
seuclidean,treutlein,normcounts,kpca-sig,4,-0.3566632857344952
seuclidean,treutlein,normcounts,kpca-sig,32,-0.739628480113452
seuclidean,treutlein,normcounts,kpca-sig,2,-0.2879695098278119
seuclidean,treutlein,normcounts,kpca-sig,16,-0.6090790481549694
seuclidean,treutlein,normcounts,kpca-sig,96,nan
seuclidean,treutlein,normcounts,kpca-sig,8,-0.4135255780583796
seuclidean,treutlein,normcounts,kpca-sig,48,-0.7519136862159753
seuclidean,treutlein,normcounts,nmf2,4,0.41423102168927145
seuclidean,treutlein,normcounts,nmf2,32,0.6323911533353613
seuclidean,treutlein,normcounts,nmf2,2,0.14973446259958967
seuclidean,treutlein,normcounts,nmf2,16,0.6173151313434325
seuclidean,treutlein,normcounts,nmf2,96,0.5567484466025092
seuclidean,treutlein,normcounts,nmf2,8,0.46377565040275265
seuclidean,treutlein,normcounts,nmf2,48,0.5171759888123748
seuclidean,treutlein,normcounts,srp,4,0.07453859353487868
seuclidean,treutlein,normcounts,srp,32,0.34015583715526454
seuclidean,treutlein,normcounts,srp,2,0.11447684747513756
seuclidean,treutlein,normcounts,srp,16,0.40470781313942356
seuclidean,treutlein,normcounts,srp,96,0.5877394156844259
seuclidean,treutlein,normcounts,srp,8,0.25453526839190993
seuclidean,treutlein,normcounts,srp,48,0.4220883859402888
seuclidean,treutlein,normcounts,psmf,4,0.16447003544995023
seuclidean,treutlein,normcounts,psmf,32,0.5504227956401533
seuclidean,treutlein,normcounts,psmf,2,0.048404058583500276
seuclidean,treutlein,normcounts,psmf,16,0.4043921782138204
seuclidean,treutlein,normcounts,psmf,96,0.5149415437728836
seuclidean,treutlein,normcounts,psmf,8,0.39159468233747724
seuclidean,treutlein,normcounts,psmf,48,0.6306681819576981
seuclidean,treutlein,normcounts,fica,4,0.4599333301152813
seuclidean,treutlein,normcounts,fica,32,0.8270040155714321
seuclidean,treutlein,normcounts,fica,2,0.25537148541285193
seuclidean,treutlein,normcounts,fica,16,0.7784354674483179
seuclidean,treutlein,normcounts,fica,96,0.038003151249506824
seuclidean,treutlein,normcounts,fica,8,0.6871582039979318
