metric,dataset,count,method,dimensions,rho
seuclidean,usoskin,lognormcounts,spca,4,0.32624535462050164
seuclidean,usoskin,lognormcounts,spca,32,0.2562343368742173
seuclidean,usoskin,lognormcounts,spca,2,0.3569607605305306
seuclidean,usoskin,lognormcounts,spca,16,0.42690422301041414
seuclidean,usoskin,lognormcounts,spca,96,-0.23747341901940036
seuclidean,usoskin,lognormcounts,spca,8,0.41990396826641235
seuclidean,usoskin,lognormcounts,spca,48,0.04691021699420034
seuclidean,usoskin,lognormcounts,tsvd,4,0.35467246682799286
seuclidean,usoskin,lognormcounts,tsvd,32,0.06606073712447302
seuclidean,usoskin,lognormcounts,tsvd,2,0.3916921704776539
seuclidean,usoskin,lognormcounts,tsvd,16,0.3543252101643738
seuclidean,usoskin,lognormcounts,tsvd,96,-0.20010248406647593
seuclidean,usoskin,lognormcounts,tsvd,8,0.4484666282630203
seuclidean,usoskin,lognormcounts,tsvd,48,-0.07902328442074566
seuclidean,usoskin,lognormcounts,spca-batch,4,0.37275224425334774
seuclidean,usoskin,lognormcounts,spca-batch,32,0.26661327163703336
seuclidean,usoskin,lognormcounts,spca-batch,2,0.2512066482530423
seuclidean,usoskin,lognormcounts,spca-batch,16,0.34208604018376876
seuclidean,usoskin,lognormcounts,spca-batch,96,0.18645607935404732
seuclidean,usoskin,lognormcounts,spca-batch,8,0.33570871201382885
seuclidean,usoskin,lognormcounts,spca-batch,48,0.1659583630023777
seuclidean,usoskin,lognormcounts,zifa,32,-0.0033193630031270066
seuclidean,usoskin,lognormcounts,zifa,16,0.12980921688846586
seuclidean,usoskin,lognormcounts,zifa,96,-0.11572887278215266
seuclidean,usoskin,lognormcounts,zifa,8,0.2044451218017148
seuclidean,usoskin,lognormcounts,zifa,48,-0.05656338418279502
seuclidean,usoskin,lognormcounts,nsnmf,4,0.46417204961249126
seuclidean,usoskin,lognormcounts,nsnmf,32,0.7411208064818691
seuclidean,usoskin,lognormcounts,nsnmf,2,0.39986635431966305
seuclidean,usoskin,lognormcounts,nsnmf,16,0.6703678089007766
seuclidean,usoskin,lognormcounts,nsnmf,96,0.8118815915949837
seuclidean,usoskin,lognormcounts,nsnmf,8,0.5765877156664537
seuclidean,usoskin,lognormcounts,nsnmf,48,0.7904510154348044
seuclidean,usoskin,lognormcounts,vpac,4,0.04856574800118511
seuclidean,usoskin,lognormcounts,vpac,32,0.3675338569227288
seuclidean,usoskin,lognormcounts,vpac,2,0.2774027973256308
seuclidean,usoskin,lognormcounts,vpac,16,0.45610880753339755
seuclidean,usoskin,lognormcounts,vpac,96,0.27515806170070406
seuclidean,usoskin,lognormcounts,vpac,8,0.4450836311866971
seuclidean,usoskin,lognormcounts,vpac,48,0.38856971191337375
seuclidean,usoskin,lognormcounts,umap,4,0.1943968036441326
seuclidean,usoskin,lognormcounts,umap,32,0.27063390109806407
seuclidean,usoskin,lognormcounts,umap,2,0.2910454977678506
seuclidean,usoskin,lognormcounts,umap,16,0.3019440565675926
seuclidean,usoskin,lognormcounts,umap,96,0.24278122495941654
seuclidean,usoskin,lognormcounts,umap,8,0.3136148796085171
seuclidean,usoskin,lognormcounts,umap,48,0.2656788309251064
seuclidean,usoskin,lognormcounts,kpca-sig,4,-0.214364926228661
seuclidean,usoskin,lognormcounts,kpca-sig,32,-0.408005203592179
seuclidean,usoskin,lognormcounts,kpca-sig,2,-0.07011021671112827
seuclidean,usoskin,lognormcounts,kpca-sig,16,-0.35600488296983657
seuclidean,usoskin,lognormcounts,kpca-sig,96,-0.47140178736428956
seuclidean,usoskin,lognormcounts,kpca-sig,8,-0.2928129533056763
seuclidean,usoskin,lognormcounts,kpca-sig,48,-0.4288290481538081
seuclidean,usoskin,lognormcounts,nmf2,4,0.4220472581905757
seuclidean,usoskin,lognormcounts,nmf2,32,0.5701417192981257
seuclidean,usoskin,lognormcounts,nmf2,2,0.1912682984080768
seuclidean,usoskin,lognormcounts,nmf2,16,0.5130783678803025
seuclidean,usoskin,lognormcounts,nmf2,96,0.5630083086662888
seuclidean,usoskin,lognormcounts,nmf2,8,0.4013495422295659
seuclidean,usoskin,lognormcounts,nmf2,48,0.5272217760576667
seuclidean,usoskin,lognormcounts,srp,4,-0.029103630625207502
seuclidean,usoskin,lognormcounts,srp,32,0.11110246547136983
seuclidean,usoskin,lognormcounts,srp,2,-0.0270646317810964
seuclidean,usoskin,lognormcounts,srp,16,0.004760165481649837
seuclidean,usoskin,lognormcounts,srp,96,0.06997356483877809
seuclidean,usoskin,lognormcounts,srp,8,0.037256833629238616
seuclidean,usoskin,lognormcounts,srp,48,0.09126372991445207
seuclidean,usoskin,lognormcounts,psmf,4,0.3764481941016399
seuclidean,usoskin,lognormcounts,psmf,32,0.48098618408398075
seuclidean,usoskin,lognormcounts,psmf,2,0.23338153026836025
seuclidean,usoskin,lognormcounts,psmf,16,0.4366710249678509
seuclidean,usoskin,lognormcounts,psmf,96,0.4771063019806893
seuclidean,usoskin,lognormcounts,psmf,8,0.4232035309472972
seuclidean,usoskin,lognormcounts,psmf,48,0.46233438090581574
seuclidean,usoskin,lognormcounts,fica,4,0.2869139496956234
seuclidean,usoskin,lognormcounts,fica,32,0.00836663011582747
seuclidean,usoskin,lognormcounts,fica,2,0.38532153489152265
seuclidean,usoskin,lognormcounts,fica,16,0.26585601275120285
seuclidean,usoskin,lognormcounts,fica,96,-0.2101007507488299
seuclidean,usoskin,lognormcounts,fica,8,0.38128889662066523
seuclidean,usoskin,lognormcounts,fica,48,-0.11504850765131742
seuclidean,usoskin,lognormcounts,lle,4,-0.07301608547988077
seuclidean,usoskin,lognormcounts,lle,32,-0.11240756265108029
seuclidean,usoskin,lognormcounts,lle,2,-0.24553859527323352
seuclidean,usoskin,lognormcounts,lle,16,-0.05352458700403108
seuclidean,usoskin,lognormcounts,lle,96,-0.13049463042574597
seuclidean,usoskin,lognormcounts,lle,8,0.1344356708936137
seuclidean,usoskin,lognormcounts,lle,48,-0.11920654740983658
seuclidean,usoskin,lognormcounts,lsnmf,4,0.4193173340900738
seuclidean,usoskin,lognormcounts,lsnmf,32,0.4124730479868181
seuclidean,usoskin,lognormcounts,lsnmf,2,0.4816713436865561
seuclidean,usoskin,lognormcounts,lsnmf,16,0.3855353575761136
seuclidean,usoskin,lognormcounts,lsnmf,96,0.27903399669464646
