metric,dataset,count,method,dimensions,rho
seuclidean,usoskin,normcounts,spca,4,0.10822090030781938
seuclidean,usoskin,normcounts,spca,32,0.32237038138517643
seuclidean,usoskin,normcounts,spca,2,0.15227162099713143
seuclidean,usoskin,normcounts,spca,16,0.13266993859578208
seuclidean,usoskin,normcounts,spca,96,0.553389527819331
seuclidean,usoskin,normcounts,spca,8,0.1180026639496001
seuclidean,usoskin,normcounts,spca,48,0.43696319417295765
seuclidean,usoskin,normcounts,tsvd,4,0.13175441422684425
seuclidean,usoskin,normcounts,tsvd,32,0.30604997441772924
seuclidean,usoskin,normcounts,tsvd,2,0.1612674399741439
seuclidean,usoskin,normcounts,tsvd,16,0.13317762833862187
seuclidean,usoskin,normcounts,tsvd,96,0.5425574166994542
seuclidean,usoskin,normcounts,tsvd,8,0.0921965893165627
seuclidean,usoskin,normcounts,tsvd,48,0.4074918164525323
seuclidean,usoskin,normcounts,spca-batch,4,0.15414197318813727
seuclidean,usoskin,normcounts,spca-batch,32,0.2925875900478235
seuclidean,usoskin,normcounts,spca-batch,2,0.07003121180467617
seuclidean,usoskin,normcounts,spca-batch,16,0.18807512821642192
seuclidean,usoskin,normcounts,spca-batch,96,0.5192263555610608
seuclidean,usoskin,normcounts,spca-batch,8,0.196805522238908
seuclidean,usoskin,normcounts,spca-batch,48,0.4054308344032303
seuclidean,usoskin,normcounts,zifa,4,0.21856629411135378
seuclidean,usoskin,normcounts,zifa,32,0.525133617166035
seuclidean,usoskin,normcounts,zifa,2,0.1913186836724242
seuclidean,usoskin,normcounts,zifa,16,0.44208400252366303
seuclidean,usoskin,normcounts,zifa,96,0.5773665818635504
seuclidean,usoskin,normcounts,zifa,8,0.3470735975195305
seuclidean,usoskin,normcounts,zifa,48,0.5557105252267234
seuclidean,usoskin,normcounts,nsnmf,4,0.2596096679654171
seuclidean,usoskin,normcounts,nsnmf,32,0.385453234788807
seuclidean,usoskin,normcounts,nsnmf,2,0.034376313026421766
seuclidean,usoskin,normcounts,nsnmf,16,0.37551589887173
seuclidean,usoskin,normcounts,nsnmf,96,0.4689669636794534
seuclidean,usoskin,normcounts,nsnmf,8,0.32204151339626735
seuclidean,usoskin,normcounts,nsnmf,48,0.45310647794396197
seuclidean,usoskin,normcounts,vpac,4,-0.012882517001100083
seuclidean,usoskin,normcounts,vpac,32,0.18205909131359285
seuclidean,usoskin,normcounts,vpac,2,0.05099658538099343
seuclidean,usoskin,normcounts,vpac,16,0.2315016904814261
seuclidean,usoskin,normcounts,vpac,96,0.259971223921729
seuclidean,usoskin,normcounts,vpac,8,0.21340919433688035
seuclidean,usoskin,normcounts,vpac,48,0.13670816338614442
seuclidean,usoskin,normcounts,umap,4,-0.028222038577583007
seuclidean,usoskin,normcounts,umap,32,-0.11190835092932573
seuclidean,usoskin,normcounts,umap,2,-0.0318582273572526
seuclidean,usoskin,normcounts,umap,16,-0.022981570657384674
seuclidean,usoskin,normcounts,umap,96,-0.10001242690171588
seuclidean,usoskin,normcounts,umap,8,-0.10549003374547
seuclidean,usoskin,normcounts,umap,48,-0.09639730985110821
seuclidean,usoskin,normcounts,kpca-sig,4,nan
seuclidean,usoskin,normcounts,kpca-sig,32,nan
seuclidean,usoskin,normcounts,kpca-sig,2,nan
seuclidean,usoskin,normcounts,kpca-sig,16,nan
seuclidean,usoskin,normcounts,kpca-sig,96,nan
seuclidean,usoskin,normcounts,kpca-sig,8,nan
seuclidean,usoskin,normcounts,kpca-sig,48,nan
seuclidean,usoskin,normcounts,nmf2,4,0.0891030251739415
seuclidean,usoskin,normcounts,nmf2,32,0.05044256040634218
seuclidean,usoskin,normcounts,nmf2,2,0.1919756302132389
seuclidean,usoskin,normcounts,nmf2,16,0.0882751267376921
seuclidean,usoskin,normcounts,nmf2,96,0.1926098760147181
seuclidean,usoskin,normcounts,nmf2,8,0.0388900743171355
seuclidean,usoskin,normcounts,nmf2,48,0.16581213980131598
seuclidean,usoskin,normcounts,srp,4,0.24443817854957658
seuclidean,usoskin,normcounts,srp,32,0.4702428642775331
seuclidean,usoskin,normcounts,srp,2,0.15851954748081543
seuclidean,usoskin,normcounts,srp,16,0.45173061616410326
seuclidean,usoskin,normcounts,srp,96,0.45662169207799685
seuclidean,usoskin,normcounts,srp,8,0.2823171777757256
seuclidean,usoskin,normcounts,srp,48,0.4838880382720829
seuclidean,usoskin,normcounts,psmf,4,0.17368528743355394
seuclidean,usoskin,normcounts,psmf,32,0.3124145026318403
seuclidean,usoskin,normcounts,psmf,2,0.18359938964778516
seuclidean,usoskin,normcounts,psmf,16,0.24466917969259655
seuclidean,usoskin,normcounts,psmf,96,0.5363136031083251
seuclidean,usoskin,normcounts,psmf,8,0.19812799749935828
seuclidean,usoskin,normcounts,psmf,48,0.3650717589292033
seuclidean,usoskin,normcounts,fica,4,0.10822119234275747
seuclidean,usoskin,normcounts,fica,32,0.313569120326477
seuclidean,usoskin,normcounts,fica,2,0.1522705883573947
seuclidean,usoskin,normcounts,fica,16,0.13078563848864871
seuclidean,usoskin,normcounts,fica,96,0.5430172699095352
seuclidean,usoskin,normcounts,fica,8,0.1180333890199556
