metric,dataset,count,method,dimensions,rho
seuclidean,yan,lognormcounts,spca,4,0.6993779995670418
seuclidean,yan,lognormcounts,spca,32,0.7090031658465525
seuclidean,yan,lognormcounts,spca,2,0.5047672800795926
seuclidean,yan,lognormcounts,spca,16,0.7357998911415977
seuclidean,yan,lognormcounts,spca,96,0.5715588666561086
seuclidean,yan,lognormcounts,spca,8,0.7034545488953765
seuclidean,yan,lognormcounts,spca,48,0.6188120555008426
seuclidean,yan,lognormcounts,tsvd,4,0.6903990572078328
seuclidean,yan,lognormcounts,tsvd,32,0.4220292645811671
seuclidean,yan,lognormcounts,tsvd,2,0.7463370694686642
seuclidean,yan,lognormcounts,tsvd,16,0.5547440993956615
seuclidean,yan,lognormcounts,tsvd,96,0.27277624199095923
seuclidean,yan,lognormcounts,tsvd,8,0.6362974777022246
seuclidean,yan,lognormcounts,tsvd,48,0.3415955775018305
seuclidean,yan,lognormcounts,spca-batch,4,0.6900625594438808
seuclidean,yan,lognormcounts,spca-batch,32,0.8226784541166902
seuclidean,yan,lognormcounts,spca-batch,2,0.5260771136059328
seuclidean,yan,lognormcounts,spca-batch,16,0.814149441314873
seuclidean,yan,lognormcounts,spca-batch,96,0.723946345594772
seuclidean,yan,lognormcounts,spca-batch,8,0.8012458886529803
seuclidean,yan,lognormcounts,spca-batch,48,0.7606885785320381
seuclidean,yan,lognormcounts,zifa,4,0.7200154760432322
seuclidean,yan,lognormcounts,zifa,32,0.3927519252537343
seuclidean,yan,lognormcounts,zifa,2,0.5422023921392847
seuclidean,yan,lognormcounts,zifa,16,0.5666601982033329
seuclidean,yan,lognormcounts,zifa,8,0.6747800242861023
seuclidean,yan,lognormcounts,zifa,48,0.24481843462585837
seuclidean,yan,lognormcounts,nsnmf,4,0.5734889537118777
seuclidean,yan,lognormcounts,nsnmf,32,0.633245202481797
seuclidean,yan,lognormcounts,nsnmf,2,0.5652029526790419
seuclidean,yan,lognormcounts,nsnmf,16,0.6471560963284053
seuclidean,yan,lognormcounts,nsnmf,96,0.7124763439835775
seuclidean,yan,lognormcounts,nsnmf,8,0.5218073911331778
seuclidean,yan,lognormcounts,nsnmf,48,0.5615511287278917
seuclidean,yan,lognormcounts,vpac,4,0.4958120575985913
seuclidean,yan,lognormcounts,vpac,32,0.383086679457853
seuclidean,yan,lognormcounts,vpac,2,0.6589000894522464
seuclidean,yan,lognormcounts,vpac,16,0.6790232043531869
seuclidean,yan,lognormcounts,vpac,8,0.5725085935360412
seuclidean,yan,lognormcounts,vpac,48,0.2752111219253203
seuclidean,yan,lognormcounts,umap,4,0.4293165836670805
seuclidean,yan,lognormcounts,umap,32,0.35956862933588857
seuclidean,yan,lognormcounts,umap,2,0.5762621758599703
seuclidean,yan,lognormcounts,umap,16,0.50593603340943
seuclidean,yan,lognormcounts,umap,96,0.568666510499267
seuclidean,yan,lognormcounts,umap,8,0.6220098847825797
seuclidean,yan,lognormcounts,umap,48,0.5617540800339637
seuclidean,yan,lognormcounts,kpca-sig,4,0.5789977209090112
seuclidean,yan,lognormcounts,kpca-sig,32,0.23590052629414937
seuclidean,yan,lognormcounts,kpca-sig,2,0.6942568477687148
seuclidean,yan,lognormcounts,kpca-sig,16,0.38227743524293084
seuclidean,yan,lognormcounts,kpca-sig,96,nan
seuclidean,yan,lognormcounts,kpca-sig,8,0.5067494451020287
seuclidean,yan,lognormcounts,kpca-sig,48,0.09395538969380456
seuclidean,yan,lognormcounts,nmf2,4,0.5796457644348729
seuclidean,yan,lognormcounts,nmf2,32,0.6373669329841813
seuclidean,yan,lognormcounts,nmf2,2,0.6974201534860547
seuclidean,yan,lognormcounts,nmf2,16,0.5319527699586823
seuclidean,yan,lognormcounts,nmf2,96,0.7185559648382269
seuclidean,yan,lognormcounts,nmf2,8,0.6409045224681322
seuclidean,yan,lognormcounts,nmf2,48,0.7345490857615928
seuclidean,yan,lognormcounts,srp,4,0.3591881731817895
seuclidean,yan,lognormcounts,srp,32,0.7025727769325855
seuclidean,yan,lognormcounts,srp,2,0.14106060375364285
seuclidean,yan,lognormcounts,srp,16,0.6353596106679964
seuclidean,yan,lognormcounts,srp,96,0.7935953588502855
seuclidean,yan,lognormcounts,srp,8,0.5057609285503399
seuclidean,yan,lognormcounts,srp,48,0.7426391213839256
seuclidean,yan,lognormcounts,psmf,4,0.7370667739070192
seuclidean,yan,lognormcounts,psmf,32,0.7600132539986804
seuclidean,yan,lognormcounts,psmf,2,0.7100366267116143
seuclidean,yan,lognormcounts,psmf,16,0.7349130305970327
seuclidean,yan,lognormcounts,psmf,96,0.8361549438013395
seuclidean,yan,lognormcounts,psmf,8,0.7189093648903934
seuclidean,yan,lognormcounts,psmf,48,0.7923753645984907
seuclidean,yan,lognormcounts,fica,4,0.6033494821318705
seuclidean,yan,lognormcounts,fica,32,0.3977986620775247
seuclidean,yan,lognormcounts,fica,2,0.511192571258652
seuclidean,yan,lognormcounts,fica,16,0.5382849076443517
seuclidean,yan,lognormcounts,fica,96,-0.02538461947550562
seuclidean,yan,lognormcounts,fica,8,0.6511831412149475
seuclidean,yan,lognormcounts,fica,48,0.29856923691901566
seuclidean,yan,lognormcounts,lle,4,0.3308025426618537
seuclidean,yan,lognormcounts,lle,32,0.1658608812153776
seuclidean,yan,lognormcounts,lle,2,0.600596410097025
seuclidean,yan,lognormcounts,lle,16,0.19912278741843384
seuclidean,yan,lognormcounts,lle,8,0.04856513783562893
seuclidean,yan,lognormcounts,lle,48,0.11174359978962065
seuclidean,yan,lognormcounts,lsnmf,4,0.4962555911705222
seuclidean,yan,lognormcounts,lsnmf,32,0.7473269182682591
seuclidean,yan,lognormcounts,lsnmf,2,0.7024258144095243
seuclidean,yan,lognormcounts,lsnmf,16,0.6825371214057847
seuclidean,yan,lognormcounts,lsnmf,96,0.7349934429287311
seuclidean,yan,lognormcounts,lsnmf,8,0.48096218227706394
seuclidean,yan,lognormcounts,lsnmf,48,0.7950071805490925
seuclidean,yan,lognormcounts,phate,4,0.3290086548872527
seuclidean,yan,lognormcounts,phate,32,0.3092213868207182
seuclidean,yan,lognormcounts,phate,2,0.49376681385073296
seuclidean,yan,lognormcounts,phate,16,0.3283401867980057
seuclidean,yan,lognormcounts,phate,8,0.34229115735900506
seuclidean,yan,lognormcounts,phate,48,0.23543958308889565
seuclidean,yan,lognormcounts,kpca-rbf,4,0.4436576284573951
seuclidean,yan,lognormcounts,kpca-rbf,32,0.3860620825544227
seuclidean,yan,lognormcounts,kpca-rbf,2,0.39025982086335376
seuclidean,yan,lognormcounts,kpca-rbf,16,0.4779676022452307
seuclidean,yan,lognormcounts,kpca-rbf,96,nan
seuclidean,yan,lognormcounts,kpca-rbf,8,0.5227800055165749
seuclidean,yan,lognormcounts,kpca-rbf,48,0.2830331743495706
seuclidean,yan,lognormcounts,isomap,4,0.2997093663459284
seuclidean,yan,lognormcounts,isomap,32,0.209492968507817
seuclidean,yan,lognormcounts,isomap,2,0.2473713008781193
seuclidean,yan,lognormcounts,isomap,16,0.35090441485343515
seuclidean,yan,lognormcounts,isomap,96,nan
seuclidean,yan,lognormcounts,isomap,8,0.36422789552981905
seuclidean,yan,lognormcounts,isomap,48,0.19942954851995784
seuclidean,yan,lognormcounts,saucie,4,-0.014494785488856183
seuclidean,yan,lognormcounts,saucie,32,0.01645728958075046
seuclidean,yan,lognormcounts,saucie,2,-0.05453683490897333
seuclidean,yan,lognormcounts,saucie,16,0.02156362936765367
seuclidean,yan,lognormcounts,saucie,96,0.025449737294890914
seuclidean,yan,lognormcounts,saucie,8,-0.0363153151044348
seuclidean,yan,lognormcounts,saucie,48,0.07871517320770409
seuclidean,yan,lognormcounts,bd,4,0.6202922298110977
seuclidean,yan,lognormcounts,bd,32,0.7300669967708736
seuclidean,yan,lognormcounts,bd,2,0.6958006087098965
seuclidean,yan,lognormcounts,bd,16,0.7641756109638557
seuclidean,yan,lognormcounts,bd,96,0.20833894892077282
seuclidean,yan,lognormcounts,bd,8,0.6667524156487341
seuclidean,yan,lognormcounts,bd,48,0.5447755346368102
seuclidean,yan,lognormcounts,lda,4,0.6313858527089243
seuclidean,yan,lognormcounts,lda,32,0.6667137535604498
