metric,dataset,count,method,dimensions,rho
seuclidean,yan,normcounts,spca,4,0.37548230218214007
seuclidean,yan,normcounts,spca,32,0.5231959491160577
seuclidean,yan,normcounts,spca,2,0.3593563653703781
seuclidean,yan,normcounts,spca,16,0.5085369112087462
seuclidean,yan,normcounts,spca,96,0.7119636401825478
seuclidean,yan,normcounts,spca,8,0.379955794512611
seuclidean,yan,normcounts,spca,48,0.48649832985857044
seuclidean,yan,normcounts,tsvd,4,0.31516162562794864
seuclidean,yan,normcounts,tsvd,32,0.3323006807459903
seuclidean,yan,normcounts,tsvd,2,0.3142342187572095
seuclidean,yan,normcounts,tsvd,16,0.38927339421485846
seuclidean,yan,normcounts,tsvd,96,0.18420698076944048
seuclidean,yan,normcounts,tsvd,8,0.37710881865717033
seuclidean,yan,normcounts,tsvd,48,0.24550942894999844
seuclidean,yan,normcounts,spca-batch,4,0.3925201397094681
seuclidean,yan,normcounts,spca-batch,32,0.5105057533785229
seuclidean,yan,normcounts,spca-batch,2,0.2945996006719528
seuclidean,yan,normcounts,spca-batch,16,0.33502103607675593
seuclidean,yan,normcounts,spca-batch,96,0.6057613744386955
seuclidean,yan,normcounts,spca-batch,8,0.22681159035728304
seuclidean,yan,normcounts,spca-batch,48,0.4108674631682256
seuclidean,yan,normcounts,zifa,4,0.6022350674058505
seuclidean,yan,normcounts,zifa,32,0.5766650818483183
seuclidean,yan,normcounts,zifa,2,0.42772732044498557
seuclidean,yan,normcounts,zifa,16,0.626871638461557
seuclidean,yan,normcounts,zifa,8,0.6891526869879566
seuclidean,yan,normcounts,zifa,48,0.3321767232227385
seuclidean,yan,normcounts,nsnmf,4,0.38170316373068425
seuclidean,yan,normcounts,nsnmf,32,0.5928105368764606
seuclidean,yan,normcounts,nsnmf,2,0.5521146139449024
seuclidean,yan,normcounts,nsnmf,16,0.5778913459964917
seuclidean,yan,normcounts,nsnmf,96,0.5271024259406855
seuclidean,yan,normcounts,nsnmf,8,0.6309351716606004
seuclidean,yan,normcounts,nsnmf,48,0.5905497392654298
seuclidean,yan,normcounts,vpac,4,0.36366765128790635
seuclidean,yan,normcounts,vpac,32,0.5079091235670973
seuclidean,yan,normcounts,vpac,2,0.3546723460109742
seuclidean,yan,normcounts,vpac,16,0.5228195479868533
seuclidean,yan,normcounts,vpac,8,0.5538495597457717
seuclidean,yan,normcounts,vpac,48,0.47476514932353653
seuclidean,yan,normcounts,umap,4,0.4072757827754546
seuclidean,yan,normcounts,umap,32,0.39082656233559093
seuclidean,yan,normcounts,umap,2,0.36332038869188205
seuclidean,yan,normcounts,umap,16,0.38670779035007974
seuclidean,yan,normcounts,umap,8,0.40266933576519764
seuclidean,yan,normcounts,umap,48,0.34686030889983394
seuclidean,yan,normcounts,kpca-sig,4,nan
seuclidean,yan,normcounts,kpca-sig,32,nan
seuclidean,yan,normcounts,kpca-sig,2,nan
seuclidean,yan,normcounts,kpca-sig,16,nan
