metric,dataset,count,method,dimensions,rho
seuclidean,zeisel,counts,spca,4,0.10437889225395357
seuclidean,zeisel,counts,spca,32,0.5328665254643477
seuclidean,zeisel,counts,spca,2,0.09025447368811322
seuclidean,zeisel,counts,spca,16,0.4044785384379389
seuclidean,zeisel,counts,spca,96,0.6720481567219356
seuclidean,zeisel,counts,spca,8,0.28989367077894307
seuclidean,zeisel,counts,spca,48,0.5827777557693246
seuclidean,zeisel,counts,tsvd,4,0.14492252175698003
seuclidean,zeisel,counts,tsvd,32,0.5008466496476693
seuclidean,zeisel,counts,tsvd,2,0.07423389495599475
seuclidean,zeisel,counts,tsvd,16,0.39772882138540017
seuclidean,zeisel,counts,tsvd,96,0.6520751832880456
seuclidean,zeisel,counts,tsvd,8,0.2713441213120015
seuclidean,zeisel,counts,tsvd,48,0.5569006771708658
seuclidean,zeisel,counts,spca-batch,4,0.2743333640000947
seuclidean,zeisel,counts,spca-batch,32,0.33909431985615746
seuclidean,zeisel,counts,spca-batch,2,0.3180430614886622
seuclidean,zeisel,counts,spca-batch,16,0.3292837571326637
seuclidean,zeisel,counts,spca-batch,96,0.4987432867943595
seuclidean,zeisel,counts,spca-batch,8,0.34615973302832276
seuclidean,zeisel,counts,spca-batch,48,0.43307189999790846
seuclidean,zeisel,counts,zifa,4,0.4974950576037892
seuclidean,zeisel,counts,zifa,32,0.6095820495912407
seuclidean,zeisel,counts,zifa,2,0.29836288343989953
seuclidean,zeisel,counts,zifa,16,0.6618779905954124
seuclidean,zeisel,counts,zifa,8,0.5856740964179616
seuclidean,zeisel,counts,nsnmf,4,0.3179011430344086
seuclidean,zeisel,counts,nsnmf,32,0.3584338190154636
seuclidean,zeisel,counts,nsnmf,2,0.16514841699015495
seuclidean,zeisel,counts,nsnmf,16,0.333282947301581
seuclidean,zeisel,counts,nsnmf,96,0.3795756229922341
seuclidean,zeisel,counts,nsnmf,8,0.5375055634452804
seuclidean,zeisel,counts,nsnmf,48,0.4443290126685282
seuclidean,zeisel,counts,vpac,4,0.2870057082648985
seuclidean,zeisel,counts,vpac,32,0.3118238699205313
seuclidean,zeisel,counts,vpac,2,nan
seuclidean,zeisel,counts,vpac,16,0.3794294605887792
seuclidean,zeisel,counts,vpac,96,0.31076989217265555
seuclidean,zeisel,counts,vpac,8,0.4073043348203288
seuclidean,zeisel,counts,vpac,48,0.36003534304192336
seuclidean,zeisel,counts,umap,4,0.05842899923699124
seuclidean,zeisel,counts,umap,32,-0.02557842405736359
seuclidean,zeisel,counts,umap,2,0.04641806499596226
seuclidean,zeisel,counts,umap,16,0.03614505371896742
seuclidean,zeisel,counts,umap,96,-0.03483829380777258
seuclidean,zeisel,counts,umap,8,0.012391815410049366
seuclidean,zeisel,counts,umap,48,-0.0890149461751772
seuclidean,zeisel,counts,kpca-sig,4,nan
seuclidean,zeisel,counts,kpca-sig,32,nan
seuclidean,zeisel,counts,kpca-sig,2,nan
seuclidean,zeisel,counts,kpca-sig,16,nan
seuclidean,zeisel,counts,kpca-sig,96,nan
seuclidean,zeisel,counts,kpca-sig,8,nan
seuclidean,zeisel,counts,kpca-sig,48,nan
seuclidean,zeisel,counts,nmf2,4,0.17870987025624324
seuclidean,zeisel,counts,nmf2,32,0.2461303390761771
seuclidean,zeisel,counts,nmf2,2,0.08328103200572044
seuclidean,zeisel,counts,nmf2,16,0.2417263554598488
seuclidean,zeisel,counts,nmf2,96,0.2534447154981747
seuclidean,zeisel,counts,nmf2,8,0.1955595915200721
seuclidean,zeisel,counts,nmf2,48,0.2671841818059838
seuclidean,zeisel,counts,srp,4,0.2937615894947065
seuclidean,zeisel,counts,srp,32,0.6706889175085028
seuclidean,zeisel,counts,srp,2,0.3714899330325482
seuclidean,zeisel,counts,srp,16,0.6043149241326429
seuclidean,zeisel,counts,srp,96,0.6804953100285754
seuclidean,zeisel,counts,srp,8,0.4340016958738598
seuclidean,zeisel,counts,srp,48,0.6699469691199351
seuclidean,zeisel,counts,psmf,4,0.3174610359264308
seuclidean,zeisel,counts,psmf,32,0.5801439434524394
seuclidean,zeisel,counts,psmf,2,0.09909417100455682
seuclidean,zeisel,counts,psmf,16,0.4900550582261772
seuclidean,zeisel,counts,psmf,96,0.7048327047474514
seuclidean,zeisel,counts,psmf,8,0.4347305151039489
seuclidean,zeisel,counts,psmf,48,0.5818787302941075
seuclidean,zeisel,counts,fica,4,0.10438984098027336
seuclidean,zeisel,counts,fica,32,0.518197881963845
seuclidean,zeisel,counts,fica,2,0.09025537776475544
seuclidean,zeisel,counts,fica,16,0.3980457766269694
seuclidean,zeisel,counts,fica,96,0.657022022129638
seuclidean,zeisel,counts,fica,8,0.2898862203158157
seuclidean,zeisel,counts,fica,48,0.565037790607952
seuclidean,zeisel,counts,lle,4,-0.01832897622459288
seuclidean,zeisel,counts,lle,32,0.011143997181996164
seuclidean,zeisel,counts,lle,2,-0.00124994318387748
seuclidean,zeisel,counts,lle,16,0.0052205291913273765
seuclidean,zeisel,counts,lle,96,0.0029486126520953874
seuclidean,zeisel,counts,lle,8,-0.09787736923934483
seuclidean,zeisel,counts,lle,48,0.10478782020086683
seuclidean,zeisel,counts,lsnmf,4,0.007053586413378118
seuclidean,zeisel,counts,lsnmf,32,0.015636421222201057
seuclidean,zeisel,counts,lsnmf,2,0.003949407428146529
seuclidean,zeisel,counts,lsnmf,16,0.015070339140126008
seuclidean,zeisel,counts,lsnmf,96,-0.0052090848561363555
seuclidean,zeisel,counts,lsnmf,8,0.008660658139105923
seuclidean,zeisel,counts,lsnmf,48,-0.005030435581416944
seuclidean,zeisel,counts,phate,4,0.10016831067036354
seuclidean,zeisel,counts,phate,32,0.1981983795781139
seuclidean,zeisel,counts,phate,2,0.022458589119042083
seuclidean,zeisel,counts,phate,16,0.22491363013026736
seuclidean,zeisel,counts,phate,96,0.11598154532456044
seuclidean,zeisel,counts,phate,8,0.21042646497101603
seuclidean,zeisel,counts,phate,48,0.15576055458840612
seuclidean,zeisel,counts,kpca-rbf,4,-0.08911047641609883
seuclidean,zeisel,counts,kpca-rbf,32,-0.10242006080136574
seuclidean,zeisel,counts,kpca-rbf,2,-0.00794185807373461
seuclidean,zeisel,counts,kpca-rbf,16,-0.10416440588803925
seuclidean,zeisel,counts,kpca-rbf,96,-0.0984853945155155
seuclidean,zeisel,counts,kpca-rbf,8,-0.039010485805742644
seuclidean,zeisel,counts,kpca-rbf,48,-0.10123724317581648
seuclidean,zeisel,counts,isomap,4,0.25699221790715315
seuclidean,zeisel,counts,isomap,32,0.4546272855199987
seuclidean,zeisel,counts,isomap,2,0.20336158050669265
seuclidean,zeisel,counts,isomap,16,0.4146289667386038
seuclidean,zeisel,counts,isomap,96,0.5073761610663666
seuclidean,zeisel,counts,isomap,8,0.38563069206423506
seuclidean,zeisel,counts,isomap,48,0.46597441530283784
seuclidean,zeisel,counts,saucie,4,-0.005465360436237206
seuclidean,zeisel,counts,saucie,32,-0.0048469545306703415
seuclidean,zeisel,counts,saucie,2,-0.00013181073776796388
seuclidean,zeisel,counts,saucie,16,-0.0063793203270807175
seuclidean,zeisel,counts,saucie,96,0.0035430016615630314
seuclidean,zeisel,counts,saucie,8,0.007687021153241149
seuclidean,zeisel,counts,saucie,48,-0.011840481850938962
seuclidean,zeisel,counts,bd,4,0.11733883395993536
seuclidean,zeisel,counts,bd,32,0.49440486829338953
