metric,dataset,count,method,dimensions,rho
seuclidean,zeisel,logcounts,spca,4,0.29056429463111283
seuclidean,zeisel,logcounts,spca,32,0.4891449261209666
seuclidean,zeisel,logcounts,spca,2,0.2505554974043065
seuclidean,zeisel,logcounts,spca,16,0.5023554413156299
seuclidean,zeisel,logcounts,spca,96,0.4608108903909164
seuclidean,zeisel,logcounts,spca,8,0.41845498354424143
seuclidean,zeisel,logcounts,spca,48,0.5062859012329838
seuclidean,zeisel,logcounts,tsvd,4,0.3433633053731606
seuclidean,zeisel,logcounts,tsvd,32,0.4376984047635059
seuclidean,zeisel,logcounts,tsvd,2,0.2534224290525948
seuclidean,zeisel,logcounts,tsvd,16,0.479604083625076
seuclidean,zeisel,logcounts,tsvd,96,0.3375714493073849
seuclidean,zeisel,logcounts,tsvd,8,0.3745908315032578
seuclidean,zeisel,logcounts,tsvd,48,0.43322006229657667
seuclidean,zeisel,logcounts,spca-batch,4,0.27888010607721353
seuclidean,zeisel,logcounts,spca-batch,32,0.437558310739776
seuclidean,zeisel,logcounts,spca-batch,2,0.2375626843247252
seuclidean,zeisel,logcounts,spca-batch,16,0.37096388480085596
seuclidean,zeisel,logcounts,spca-batch,96,0.4574564549086533
seuclidean,zeisel,logcounts,spca-batch,8,0.3875698302455107
seuclidean,zeisel,logcounts,spca-batch,48,0.46016978345382903
seuclidean,zeisel,logcounts,zifa,4,0.2323576244976006
seuclidean,zeisel,logcounts,zifa,2,0.22678466896090635
seuclidean,zeisel,logcounts,zifa,16,0.32554736696223147
seuclidean,zeisel,logcounts,zifa,8,0.3231384895425973
seuclidean,zeisel,logcounts,zifa,48,0.218389232565337
seuclidean,zeisel,logcounts,nsnmf,4,0.30692190239130734
seuclidean,zeisel,logcounts,nsnmf,32,0.43635060377000273
seuclidean,zeisel,logcounts,nsnmf,2,0.24833806268427888
seuclidean,zeisel,logcounts,nsnmf,16,0.42625455792668493
seuclidean,zeisel,logcounts,nsnmf,96,0.5132099722140615
seuclidean,zeisel,logcounts,nsnmf,8,0.36336394903998276
seuclidean,zeisel,logcounts,nsnmf,48,0.5148764905100363
seuclidean,zeisel,logcounts,vpac,4,0.2762614239888904
seuclidean,zeisel,logcounts,vpac,32,0.3421697080033408
seuclidean,zeisel,logcounts,vpac,2,0.24949540600163167
seuclidean,zeisel,logcounts,vpac,16,0.2952641585977822
seuclidean,zeisel,logcounts,vpac,96,0.3334274090021133
seuclidean,zeisel,logcounts,vpac,8,0.2044528453930389
seuclidean,zeisel,logcounts,vpac,48,0.29553306181081224
seuclidean,zeisel,logcounts,umap,4,0.18806847488144748
seuclidean,zeisel,logcounts,umap,32,0.22415710448382936
seuclidean,zeisel,logcounts,umap,2,0.04737290005176042
seuclidean,zeisel,logcounts,umap,16,0.14498297306846922
seuclidean,zeisel,logcounts,umap,96,0.2580820530499893
seuclidean,zeisel,logcounts,umap,8,0.17140931922892652
seuclidean,zeisel,logcounts,umap,48,0.18559605276070548
seuclidean,zeisel,logcounts,kpca-sig,4,0.06123119862161266
seuclidean,zeisel,logcounts,kpca-sig,32,0.04772897071400329
seuclidean,zeisel,logcounts,kpca-sig,2,0.06627434913161673
seuclidean,zeisel,logcounts,kpca-sig,16,0.09861077962835169
seuclidean,zeisel,logcounts,kpca-sig,96,-0.012028644025970947
seuclidean,zeisel,logcounts,kpca-sig,8,0.138636585217796
seuclidean,zeisel,logcounts,kpca-sig,48,0.020961267540965396
seuclidean,zeisel,logcounts,nmf2,4,0.24158524740204732
seuclidean,zeisel,logcounts,nmf2,32,0.3298502493569359
seuclidean,zeisel,logcounts,nmf2,2,0.22195141900859203
seuclidean,zeisel,logcounts,nmf2,16,0.28161283371249507
seuclidean,zeisel,logcounts,nmf2,96,0.37425133607657535
seuclidean,zeisel,logcounts,nmf2,8,0.2348096562655328
seuclidean,zeisel,logcounts,nmf2,48,0.34338992825489717
seuclidean,zeisel,logcounts,srp,4,0.11745795286080547
seuclidean,zeisel,logcounts,srp,32,0.22914603615025864
seuclidean,zeisel,logcounts,srp,2,0.03692973605062167
seuclidean,zeisel,logcounts,srp,16,0.1689858182756216
seuclidean,zeisel,logcounts,srp,96,0.3598750436516078
seuclidean,zeisel,logcounts,srp,8,0.1527158403022578
seuclidean,zeisel,logcounts,srp,48,0.26776861415861314
seuclidean,zeisel,logcounts,psmf,4,0.295445983566866
seuclidean,zeisel,logcounts,psmf,32,0.3681569345262913
seuclidean,zeisel,logcounts,psmf,2,0.2805528266837548
seuclidean,zeisel,logcounts,psmf,16,0.3891909099903758
seuclidean,zeisel,logcounts,psmf,96,0.3426896929084893
seuclidean,zeisel,logcounts,psmf,8,0.29540750071870586
seuclidean,zeisel,logcounts,psmf,48,0.36807339848657966
seuclidean,zeisel,logcounts,fica,4,0.2959599613875731
seuclidean,zeisel,logcounts,fica,32,0.41102646412896554
seuclidean,zeisel,logcounts,fica,2,0.21239187136460908
seuclidean,zeisel,logcounts,fica,16,0.45483045198312316
seuclidean,zeisel,logcounts,fica,96,0.33369515665423477
seuclidean,zeisel,logcounts,fica,8,0.3988610611969612
seuclidean,zeisel,logcounts,fica,48,0.4134630617306831
seuclidean,zeisel,logcounts,lle,4,0.174114404019693
seuclidean,zeisel,logcounts,lle,32,0.05229324013848021
seuclidean,zeisel,logcounts,lle,2,0.03379783428795588
seuclidean,zeisel,logcounts,lle,16,0.029498161757472423
seuclidean,zeisel,logcounts,lle,96,-0.04360046008318899
seuclidean,zeisel,logcounts,lle,8,0.021793079645341763
seuclidean,zeisel,logcounts,lle,48,0.01370618367291638
seuclidean,zeisel,logcounts,lsnmf,4,0.2794905015063701
seuclidean,zeisel,logcounts,lsnmf,32,0.3370618654445705
seuclidean,zeisel,logcounts,lsnmf,2,0.19991839560450628
seuclidean,zeisel,logcounts,lsnmf,16,0.42149213985311157
seuclidean,zeisel,logcounts,lsnmf,96,0.29087717755046194
seuclidean,zeisel,logcounts,lsnmf,8,0.3105528372979959
seuclidean,zeisel,logcounts,lsnmf,48,0.21538524478582963
seuclidean,zeisel,logcounts,phate,4,0.17610334212815004
seuclidean,zeisel,logcounts,phate,32,0.280784481941913
seuclidean,zeisel,logcounts,phate,2,0.17240208045974606
seuclidean,zeisel,logcounts,phate,16,0.26866093523662904
seuclidean,zeisel,logcounts,phate,96,0.24142810074450333
seuclidean,zeisel,logcounts,phate,8,0.3105464614488305
seuclidean,zeisel,logcounts,phate,48,0.25971056047128466
seuclidean,zeisel,logcounts,kpca-rbf,4,0.09775925994501002
seuclidean,zeisel,logcounts,kpca-rbf,32,0.10314551361571839
seuclidean,zeisel,logcounts,kpca-rbf,2,0.06412189259107609
seuclidean,zeisel,logcounts,kpca-rbf,16,0.11977664606900694
seuclidean,zeisel,logcounts,kpca-rbf,96,0.1741761390530367
seuclidean,zeisel,logcounts,kpca-rbf,8,0.12347103205490449
seuclidean,zeisel,logcounts,kpca-rbf,48,0.17100047814320213
seuclidean,zeisel,logcounts,isomap,4,0.11865391947914557
seuclidean,zeisel,logcounts,isomap,32,-0.07240277615685509
seuclidean,zeisel,logcounts,isomap,2,0.16672359273558604
seuclidean,zeisel,logcounts,isomap,16,-0.051190366042687195
seuclidean,zeisel,logcounts,isomap,96,-0.12751966794173503
seuclidean,zeisel,logcounts,isomap,8,-0.013100712817355902
seuclidean,zeisel,logcounts,isomap,48,-0.09460644729641292
seuclidean,zeisel,logcounts,saucie,4,-0.011586651036243963
seuclidean,zeisel,logcounts,saucie,32,0.008137974135094903
seuclidean,zeisel,logcounts,saucie,2,-0.007119155137213892
seuclidean,zeisel,logcounts,saucie,16,0.01760930529222895
seuclidean,zeisel,logcounts,saucie,96,0.0026173726139628265
seuclidean,zeisel,logcounts,saucie,8,-0.0070762902632963325
seuclidean,zeisel,logcounts,saucie,48,0.011124652121716398
seuclidean,zeisel,logcounts,bd,4,0.2963657537551045
seuclidean,zeisel,logcounts,bd,32,0.5161869827475806
seuclidean,zeisel,logcounts,bd,2,0.19313330856365277
seuclidean,zeisel,logcounts,bd,16,0.45060741277947214
