"","r.euc","r.seu","r.cos","r.cor"
"bd",0.156241661902039,-0.0701202590194265,0.00411223996129656,-0.0245928076116755
"fa",0.128797408042691,-0.284119642306506,0.521851314304144,0.53515562006128
"fica",0.24025974025974,0.0315140302189331,0.424770198355104,0.429769392033543
"grp",0.483743091290261,-0.127967930928153,0.324383164005805,0.323818738913078
"icm",-0.00133409567371832,0.113290163428924,0.0436219964521851,0.226737622964038
"ipca",-0.08168477225081,0.123280912735122,0.186502177068215,0.19916142557652
"isomap",-0.0307604345340194,-0.0387912426765341,0.229721012739881,0.200290275761974
"ivis",0.0545790934320074,-0.00323886639676113,-0.107192414431082,-0.0113320999074931
"kpca-cos",0.398056032018296,0.310021584952205,0.339864537977745,0.333413965489437
"kpca-pol",0.102649132837812,0.0227567067530065,0.398645379777455,0.402999516207063
"kpca-rbf",0.355555555555556,0.149429540548874,0.253265602322206,0.164005805515239
"lda",0.415284924718887,-0.0294172062904718,0.0953072085147557,0.336316723109176
"lle",0.435425685425685,0.433117483811286,0.508708272859216,0.567731011127237
"lsnmf",0.353246753246753,0.400678384212149,0.295274955652314,0.498629253346234
"mctsne",-0.0502763483895559,0.153376503237743,0.202709240445089,0.224560554749234
"nmf",0.069639794168096,-0.0662966389145853,0.133043057571359,0.185937751975488
"nmf2",0.209235209235209,0.0831945729263028,0.075794226737623,0.279551685212063
"nsnmf",0.0632034632034632,-0.19395621338267,0.512659248508305,0.248024512175456
"pca",0.0570611778158948,0.0807277212457601,0.201741654571843,0.145299145299145
"phate",-0.0645743145743146,0.0745605920444033,0.171182067408482,0.214562167392356
"pmf",0.12338479130932,-0.0178230033919211,0.0604741170778907,0.180293501048218
"psmf",0.0056998556998557,0.373502466525722,-0.0314465408805031,0.131188517980971
"saucie",0.140182999115696,-0.144883736376521,0.237348284996815,0.0325090036014406
"snmf",0.0296931579950448,0.00141843971631206,-0.0145137880986938,0.140138687308499
"spca",0.248845598845599,-0.015972864631514,0.341799709724238,0.248992098048702
"spca-batch",0.330591630591631,0.0781375269811903,0.355749072730205,0.326802128688921
"spectral",0.335752298016449,-0.0249768732654949,0.388030393579783,0.480491761290873
"srp",0.302868487699785,0.0690186892317272,0.281409081725456,0.196938775510204
"tsvd",7.21500721500721e-05,-0.0157261794634598,-0.0567650378971134,-0.1882760845025
"umap",-0.027994227994228,0.192476102374345,0.318497016610224,0.256329624254153
"vasc",0.0511255010792476,0.0120075046904315,0.40395256916996,0.288801054018445
"vpac",0.271139971139971,-0.0776441566450817,0.255845831317529,0.21923883244638
"zifa",0.254453781512605,0.142857142857143,0.00714285714285714,-0.0554081632653061
