"","r.euc","r.seu","r.cos","r.cor"
"bd",-0.0280922431865828,0.173851372186247,-0.0755523302693114,-0.100467666505402
"fa",-0.1115685153421,-0.259574468085106,0.486695694242864,0.170698274471859
"fica",0.114574314574315,0.0204131976564909,0.422351233671988,0.202628608288986
"grp",0.466285496474176,-0.127844588344126,0.246089340428963,0.24205773262377
"icm",-0.0979226224509243,0.129078014184397,0.0433800999838736,0.129898403483309
"ipca",-0.262664379645512,0.053345667591736,0.101515884534752,-0.0653120464441219
"isomap",-0.155555555555556,0.0696268886833179,0.297048863086599,0.181664247701984
"ivis",-0.0215078630897317,0.0609311740890688,0.0684551341350601,0.0444033302497687
"kpca-cos",0.0722317514770345,0.0236201048411964,0.247460087082729,-0.0134655700693437
"kpca-pol",0.0283209453020774,-0.0428615479494295,0.497984196097404,0.335026608611514
"kpca-rbf",0.286147186147186,0.332223250077089,0.225124979841961,-0.0395097564908886
"lda",0.258547741566609,-0.0471785383903793,0.0228189001773907,0.230769230769231
"lle",0.289249639249639,0.396047430830039,0.473391388485728,0.379858087405257
"lsnmf",0.373881673881674,0.414246068455134,0.338574423480084,0.488308337364941
"mctsne",0.0534781780064799,0.121554116558742,0.357603612320593,0.193194646024835
"nmf",0.0514198589670288,-0.066049953746531,0.0128205128205128,0.126592485083051
"nmf2",0.189177489177489,0.186802343509097,0.0628930817610063,0.309466215126592
"nsnmf",0.252525252525252,-0.226641998149861,0.489920980487018,0.270359619416223
"pca",-0.173927958833619,0.097995683009559,0.211014352523786,-0.00927269795194323
"phate",-0.106998556998557,0.0413814369411039,0.202628608288986,0.100709562973714
"pmf",-0.0451686678101772,-0.156213382670367,0.0509595226576359,0.0837768101919045
"psmf",-0.0156565656565657,0.101202590194265,0.0555555555555555,0.093452668924367
"saucie",0.191385553649705,0.0308300395256917,0.114658925979681,0.0720851475568457
"snmf",0.00232513817419478,0.0510021584952205,-0.117077890662796,0.0346718271246573
"spca",-0.109451659451659,0.0875115633672525,0.220528946944041,0.00548298661506209
"spca-batch",0.156421356421356,0.0817144619179772,0.303499435574907,-0.0795839380745041
"spectral",0.372439929043703,-0.210360777058279,0.522837872449415,0.391872278664731
"srp",0.0153679653679654,0.159913660191181,0.110646290446512,0.134298642533937
"tsvd",-0.168109668109668,0.0827012025901943,-0.250040316078052,-0.37195613610708
"umap",0.0125541125541126,0.162257169287697,0.349621028866312,0.339864537977745
"vasc",0.0132435953104646,-0.111579288550361,0.381128584643848,0.174838112858464
"vpac",0.323160173160173,0.00573543015726179,0.242783422028705,0.194000967585873
"zifa",0.234861944777911,-0.0625435540069686,0.208163265306122,-0.0788775510204082
