"","r.euc","r.seu","r.cos","r.cor"
"bd",0.20465027634839,-0.124267653407339,-0.0129817771327205,-0.0361232059345267
"fa",0.106613302839718,-0.243293246993525,0.44371875503951,0.326479600064506
"fica",0.104184704184704,-0.304594511255011,0.382760845024996,0.249637155297533
"grp",0.298646845816657,-0.234782608695652,0.13723592968876,0.184808901790034
"icm",0.0870973889841814,-0.00252852297255627,-0.0540425168616068,0.101681891914966
"ipca",-0.0365542214598818,-0.223065063213074,0.295436219964522,0.099016287695533
"isomap",0.470630836668572,0.0592661116250385,0.395581357845509,0.31317529430737
"ivis",0.154183673469388,0.130540474839964,0.145816326530612,-0.0586191923577942
"kpca-cos",0.0956356012959786,-0.0156028368794326,0.342202870504757,0.210933720367683
"kpca-pol",0.00583190394511149,-0.173481344434166,0.324947589098532,0.206015158845348
"kpca-rbf",-0.145021645021645,-0.0417514646931853,0.389775842606031,0.209643605870021
"lda",-0.113626834381551,-0.0421214924452667,-0.0440251572327044,-0.0433800999838736
"lle",-0.08997113997114,0.0760407030527289,0.218133697600956,-0.138823529411765
"lsnmf",0.259163059163059,0.12118408880666,0.25020158039026,0.377600387034349
"mctsne",-0.15029540689918,-0.0125192722787542,0.267860022577004,0.262941461054669
"nmf",-0.239412997903564,-0.112426765340734,-0.0824866956942429,-0.0479761328817932
"nmf2",0.193217893217893,-0.115386987357385,0.0757135945815191,0.161748105144332
"nsnmf",0.209018759018759,-0.40968239284613,0.264392839864538,0.29664570230608
"pca",0.109510196302649,-0.248473635522664,0.354297693920335,0.147234317045638
"phate",0.237373737373737,0.167437557816836,0.243428479277536,0.209885502338333
"pmf",0.24086144463503,-0.0968855997533148,0.179325915174972,0.190695049185615
"psmf",0.146536796536797,-0.098859081097749,0.114497661667473,0.0927269795194323
"saucie",0.189555936725748,0.0812210915818686,0.179164650862764,0.134807478869632
"snmf",-0.168362874023251,-0.239962997224792,-0.209966134494436,-0.125060474117078
"spca",0.153174603174603,-0.278815911193339,0.445412030317691,0.245041122399613
"spca-batch",0.193217893217893,-0.118470551958064,0.34413804225125,0.149250120948234
"spectral",0.270359619416223,-0.116003700277521,0.322718347135661,0.11619568001366
"srp",0.334126984126984,-0.0191797718162195,0.0297438124185845,0.05527289546716
"tsvd",-0.0114718614718615,-0.276102374344742,0.0949040477342364,-0.00911143363973553
"umap",-0.058008658008658,0.183842121492445,0.244799225931301,0.151265924850831
"vasc",-0.153627311522048,-0.210695187165775,-0.0915125651967757,-0.178046467520152
"vpac",0.224098124098124,0.0677767499229109,0.194968553459119,0.130709468112354
"zifa",0.0949339735894358,-0.253484320557491,0.262959183673469,0.11265306122449
