"","r.euc","r.seu","r.cos","r.cor"
"bd",0.137452204721228,0.409370699071429,0.926459635037872,0.796868442679308
"fa",0.441801200981413,0.103251588670607,0.000979621265827031,0.017429098025482
"fica",0.447983459357264,0.0400019377988699,0.00493447011167281,0.0716132774612002
"grp",0.0286516357867099,0.116177465710385,0.326130540797794,0.18473655289712
"icm",0.530094649452756,0.986964685303633,0.70281400939928,0.472072901525625
"ipca",0.792518210855795,0.135954501550958,0.0321224040365559,0.479452520465043
"isomap",0.000383480468373941,0.69478538928834,0.00359310982522718,0.0228096847085328
"ivis",0.289196222288991,0.408615739825057,0.316406347665699,0.691460064290625
"kpca-cos",0.490420349620877,0.918015072946074,0.0125056495806832,0.129296981215482
"kpca-pol",0.966717812615997,0.248048665908495,0.0179873455291188,0.138630314527461
"kpca-rbf",0.289900210858145,0.78239262720192,0.00415414161182889,0.131697595187832
"lda",0.412209851749019,0.780509222855229,0.753666334476707,0.757166880284598
"lle",0.512540490013273,0.614434371055618,0.120163889335593,0.330244658891883
"lsnmf",0.0563096873229034,0.421163074482731,0.0709583434475769,0.00558838733710843
"mctsne",0.277160466151844,0.934241527876884,0.0527768251634951,0.0574095464754005
"nmf",0.0813392109414393,0.455692804259218,0.556030719430248,0.732335808696694
"nmf2",0.157192260872319,0.443850561128988,0.589009245002562,0.246458350694832
"nsnmf",0.125480139556463,0.00499914851823307,0.0560093919683941,0.0313995155114549
"pca",0.429437008110731,0.0959468621036737,0.00958500905803568,0.291851621008173
"phate",0.0810918546415557,0.265104806484209,0.0791415494731408,0.131244927277714
"pmf",0.0794723562332112,0.520618526571778,0.198283194889039,0.170953035560626
"psmf",0.284848655324983,0.512124587941949,0.413181573034781,0.50790964683735
"saucie",0.169384402168693,0.590450977525031,0.198692096454428,0.339632922787258
"snmf",0.222945608448326,0.10817010060203,0.131094300281871,0.371186169774847
"spca",0.263407889848171,0.0609092373866734,0.000932765571875676,0.0771282156687659
"spca-batch",0.157192260872319,0.431699132456496,0.0119921532805681,0.285238505057123
"spectral",0.0505421879247952,0.44140516636085,0.0200345448911044,0.410913346720639
"srp",0.0130173357600785,0.899234429597915,0.840620179410002,0.711348133039152
"tsvd",0.93373323647742,0.0635465664085874,0.497962082949206,0.94841662024165
"umap",0.673193594726698,0.220581925000333,0.0774275888204974,0.278725221329171
"vasc",0.362594920648774,0.230725584343489,0.588855993031712,0.290565870184985
"vpac",0.10000548093831,0.653530611944771,0.161428352939001,0.354621206316197
"zifa",0.51081746562642,0.10976013480779,0.0681595403296927,0.439712526169723
