method,r.euc,r.seu,r.cor,r.cos
bd,0.5419430272863133,0.3472837236401789,0.47010904560296646,0.4733379070704976
fa,0.5602619680201243,0.4963586935405222,0.34463173324686813,0.337333577371134
fica,0.6112411397428503,0.392226051069539,0.3332964644987942,0.3475828198436531
grp,0.8805327417037447,0.2937872964748139,0.8496603955151816,0.8562177791818081
icm,0.591990664243612,0.4574378481569738,0.4243142550747059,0.4774107728336543
ipca,0.8058440466013076,0.4694383896343953,0.5163418665962153,0.5120255180485112
isomap,0.7205403844086662,0.2436628456045454,0.37820128642947987,0.38964047866619766
ivis,0.38666924467076547,0.14544363007731645,0.46281005964991073,0.4304189129716318
kpca-cos,0.5733074323711503,0.24351194433638224,0.5328742766793049,0.5362751000508896
kpca-pol,0.7568067467585423,0.5208349305136508,0.3338508342876287,0.29674436055979186
kpca-rbf,0.27052458956558434,0.19106095239341572,0.4669350834991628,0.4524461014148007
lda,0.4171894876371792,0.30300430266426803,0.44148746028480673,0.5253812709255865
lle,0.37341473441538686,0.1515590050900149,0.23531783136776566,0.25108183054402466
lsnmf,0.5797948606509141,0.40731805695183576,0.33437063674838313,0.4523925834817798
mctsne,0.6474525532258602,0.219264576580376,0.3800181112885777,0.37287957433012314
nmf,0.6422497475207936,0.40018371457644325,0.514478202411786,0.5580115929192968
nmf2,0.7598675300851093,0.27705888560202924,0.49970651119262166,0.6995595011451063
nsnmf,0.6449089480224021,0.40121956062959596,0.3841075904167785,0.6515753183682644
pca,0.7994412250931778,0.4614617575556932,0.5138353250877016,0.5026674413958236
phate,0.5038280523363181,0.20023375413469835,0.395601722013908,0.3746389366630054
pmf,0.6616649129063278,0.4156435267961412,0.46391007660846967,0.6446818724984952
psmf,0.5620153940584144,0.44868960420244364,0.49502235572194825,0.55220592101371
saucie,0.005253503747201425,0.012430579544812316,0.006914917494699585,0.007201493652144321
snmf,0.6390739729657154,0.41960181787607637,0.4877051727631894,0.5367507386659185
spca,0.7602125368353662,0.4712716765123845,0.48146813289282075,0.47103805108947555
spca-batch,0.7016304683483106,0.3728255293938159,0.44830812596290187,0.4441713330059981
spectral,0.4660395106979697,0.27646432493628975,0.20300753657260232,0.23184201470615737
srp,0.5756420002851401,0.47678377782940135,0.605019454354661,0.611738794894374
tsvd,0.7615685612490639,0.4733913563893993,0.7186379398928779,0.7372761395513334
umap,0.6172588399567848,0.16259080636495368,0.40079616683186614,0.40383034557852554
vasc,0.33883511150609086,0.3167031991948005,0.2928960089801763,0.3105394783755322
vpac,0.4186597771133745,0.3191297356495492,0.38902345122106335,0.41260369458539
zifa,0.4535960367845371,0.3980056724204794,0.46002644958420597,0.5084792296350689
