method,r.euc,r.seu,r.cor,r.cos
bd,0.5463616513112718,0.35092012192615507,0.34156384081631425,0.37251916919581896
fa,0.5336930574200649,0.35529680717877893,0.3168451587558594,0.4075785590306902
fica,0.6517517766491584,0.29441984910777325,0.3231197406514443,0.43277698216654775
grp,0.767394762258819,0.16595607010244443,0.5595766538442347,0.6466035633393195
icm,0.57409845177815,0.32735677427425935,0.3477789380563413,0.35176240065316006
ipca,0.725770317541357,0.2798957600323192,0.40800251817585015,0.4875989447031732
isomap,0.6558284869665074,0.20556908715930475,0.29531198231657974,0.36408051973422034
ivis,0.4151716630787285,0.16315008066610884,0.3738348543956853,0.4103762670020899
kpca-cos,0.5403608821736495,0.1912281500398295,0.3812797163201849,0.49986565650645637
kpca-pol,0.6861745739769539,0.3433457546846276,0.2531219818080706,0.26908542540865377
kpca-rbf,0.32197583699787424,0.1282787669887359,0.35906553405805497,0.4601326980141808
lda,0.4915307509042022,0.2242910556920566,0.39241546945337713,0.4162995526224004
lle,0.4382084267396881,0.13966235284800513,0.20452922657997316,0.27110856654491305
lsnmf,0.5791530390701201,0.3466750076675348,0.3231662685448214,0.3872275411039696
mctsne,0.639852184981087,0.2572435118927085,0.262163883403728,0.335378466020201
nmf,0.6183986814035682,0.2992195486313096,0.35871672926249953,0.40240250731758925
nmf2,0.664005183725276,0.24703791388670077,0.3700502042565673,0.4919247742990108
nsnmf,0.5572222409304629,0.2240739384780427,0.405455296665412,0.5465779751573516
pca,0.7138069501224371,0.2811550623479425,0.3927893379758084,0.4766151130164681
phate,0.49101721024664624,0.2583187161583828,0.3100017488902818,0.3662461258345443
pmf,0.5819862722227775,0.2504102711690565,0.3507352386123305,0.4780547213561922
psmf,0.5116490589849495,0.3093697736152312,0.37214078887092034,0.42434748633710806
saucie,0.005798719032923199,0.006964367337186622,0.0037814737591578187,0.005733017904415422
snmf,0.621901760288643,0.3044753521707153,0.3617608969212231,0.40446412234216794
spca,0.7108692047396103,0.2783451224659147,0.385707964331487,0.48804042211378224
spca-batch,0.690325372606017,0.25913275178852674,0.3661082549502908,0.46392960998597704
spectral,0.5746366677592196,0.19763627442458817,0.2400760711548983,0.34108918436053226
srp,0.4380456950422862,0.3770676522591388,0.42179659985912155,0.436379289819604
tsvd,0.6839005004119837,0.30546215087096273,0.28172675225219623,0.5426208837894212
umap,0.6042053122660689,0.17228339278716726,0.3238272429324563,0.3583714225849299
vasc,0.4023345771629564,0.22369092423709583,0.19400375228750577,0.37442538861436525
vpac,0.43276616819401037,0.18294205389862256,0.32337864545805434,0.415219680187069
zifa,0.4622957624293656,0.26938733272550935,0.34307143524068456,0.5343244480921587
