"","method","ss_euc","ss_seu","ss_cor","ss_cos","vrc","dbs"
"1","bd",62,149,105,104,71,70
"2","fa",58,116,152,161,75,80
"3","fica",44,146,155,159,36,33
"4","grp",3,168,2,1,9,164
"5","icm",56,130,125,101,60,189
"6","ipca",10,145,76,81,17,5
"7","isomap",18,183,127,144,35,32
"8","ivis",154,188,109,123,128,136
"9","kpca-cos",54,180,61,74,72,49
"10","kpca-pol",14,103,160,171,28,27
"11","kpca-rbf",170,186,106,113,165,191
"12","lda",120,176,112,77,93,108
"13","lle",142,190,177,178,118,167
"14","lsnmf",69,148,162,114,57,192
"15","mctsne",40,181,141,153,41,90
"16","nmf",43,138,78,64,48,23
"17","nmf2",19,172,87,24,34,25
"18","nsnmf",42,158,140,37,65,100
"19","pca",11,147,79,89,20,4
"20","phate",96,174,124,151,94,29
"21","pmf",38,156,102,39,55,63
"22","psmf",66,139,84,67,82,85
"23","saucie",197,193,195,194,196,198
"24","snmf",47,129,91,73,45,31
"25","spca",12,143,92,107,21,6
"26","spca-batch",22,157,98,117,26,16
"27","spectral",88,179,184,182,59,95
"28","srp",53,115,46,50,119,187
"29","tsvd",13,132,8,15,30,7
"30","umap",52,185,121,135,51,68
"31","vasc",163,173,169,166,137,97
"32","vpac",126,175,134,131,122,111
"33","zifa",99,150,83,86,110,133
