"dataset","protocol","species","tissue.type","n_samples","n_genes","n_classes","max_class_perc","min_class_perc","measure","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","psmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs",0.36126764391677,0.763604731449256,0.208885367009891,0.222784564429954,0.478930782022845,0.298325006512649,0.193292703411185,0.472527315286688,0.505312358092579,0.152952460784528,0.300127601058553,0.891187001801829,0,0.00846572336982406,0.333657757012186,0.448541082809904,0.112686373531338,0.693456987682322,0.299404503964548,1,0.873092806500256,0.270577081459539,-0.533666597914872,0.256402449525227,0.311173401198532,0.364720627918935,0.112842054640275,0.161238343480965,0.298264370784799,0.162281913528844,0.0618476877922384,0.405773134836351,0.189778073639012
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc",0.365385577907762,0.569355579147893,0.329132129092017,0.431180438594212,0.347999806696067,0.382484371206482,0.451009576029271,0.478225872426838,0.878616725066367,0,0.100531121438648,0.8042580197719,0.828241753065193,0.224105238796737,0.483048122475809,0.391086332211756,0.275935476861436,0.813224730771396,0.382226776905628,0.645623350523767,0.655069374075735,0.31523970054216,-0.00325106959815322,0.433017844019921,0.390341713684294,0.385628813955323,0.600395265667913,0.252208438681698,0.382008487758122,0.862749879330969,0.446629406082353,1,0.29266731029884
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor",0.690898925228322,0.770284710549288,0.213083132824997,0.918463582964915,0.559007462280627,0.95925441219049,0.746257527011776,0.626716001294681,0.921657019325535,0,0.229876763484786,0.844051899988513,0.687703591691217,0.319701652889258,0.372415173030963,0.876145982754471,0.625030548616425,1,0.733101866890729,0.682577364916874,0.662785893034142,0.398679394854617,-0.209873360157532,0.699472546470229,0.742049126848329,0.727948866608718,0.235453540986891,0.630170958902642,0.919728228896243,0.820792262942523,0.4497444816906,0.870679420014747,0.377345674127018
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu",0.310137082877115,0.554268975791903,0.302737136524839,0.397989638663248,0.263944765072288,0.302737144090037,0.46140329884403,0.452269210696161,0.837326105541627,0,0.144397422659412,0.804334413500983,0.826496450855291,0.204565153058956,0.461949281990824,0.311215691679994,0.239779470621614,0.717579873192819,0.302737144090037,0.664358266627897,0.651775819736597,0.234875575438083,-0.046848424414647,0.3906862616183,0.302736007411491,0.268769771607667,0.587139922869279,0.161763868770795,0.310669840852613,0.841606170198728,0.410161910704948,1,0.241292045466342
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos",0.688236681349786,0.678124948008533,0.411411892041759,0.923689545310742,0.538933176605939,0.731217968859845,0.781560247276511,0.594521573704075,0.930876404186815,0,0.224247536987682,0.830939346573295,0.728005603565448,0.255947770683905,0.445197130283709,0.889529354844105,0.606323870417256,1,0.731030558644203,0.856737097504746,0.69158377244794,0.321161418733355,-0.210807091137988,0.805485955323418,0.742491148017997,0.687173767574006,0.309536894843398,0.63433683777422,0.925535064773417,0.849361774065825,0.464266976382476,0.875529716185366,0.336422386132466
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc",0.515155971793025,0.481012748961095,0.41692739266057,0.335205300727445,0.521779897667294,0.412152472271021,0.383224497012905,0.438488500189438,0.734948053593699,0,0.0298546837166526,1,0.786393841680446,0.387922269147805,0.343056663866456,0.551319383778708,0.398451902715737,0.720917318628937,0.412152472271021,0.747520325061159,0.657621224849197,0.443784583294106,-1.94173426568905,0.530749984230237,0.41215233542653,0.429757476120549,0.61298309217459,0.351004249976574,0.386044013553487,0.626974364827114,0.391392844760997,0.959179702765969,0.438329053197806
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc",0.328371583181311,0.822850594842822,0.392372648722492,0.556823406431294,0.543800847903771,0.543156900539213,0.601225263972186,0.891575237171416,0.855393199063647,-0.0147352512293308,0.219061935333066,0.883957121722195,1,0.323392737421263,0.669267725831599,0.5739767660458,0.313380507501922,0.84891394781524,0.543014129293101,0.413437544872161,0.707916219182747,0.551341386188898,0,0.491632603086228,0.54876783218859,0.547292023511517,0.546606984365837,0.498957589034512,0.54271513340864,0.804302065615283,0.391092408743239,0.435933838601469,0.421832312597277
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor",0.704411691781722,0.6621229715322,0.445013333289929,0.89386346572839,0.771454323542841,0.677126149161654,0.747241771847267,0.567024268322576,0.906665399797321,0,0.264260601151653,1,0.813058553003355,0.461014503660472,0.586032265297386,0.957909528541406,0.450987724268526,0.961323795183845,0.676238296589106,0.436840125879859,0.770150620779966,0.626442743048547,-0.0865773835405721,0.773388221870865,0.68057018806344,0.791863997427064,0.370138071871569,0.787581487302471,0.924361455609703,0.684185487477174,0.349429575732471,0.417020941844481,0.556595588408798
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_seu",0.427362977801124,0.800420167109727,0.326773536053049,0.49445303334594,0.481180767828976,0.32677355445792,0.433214142707758,0.848932750795346,0.790820260670212,0,0.180558028245867,0.835785503406287,1,0.245175299686063,0.501914836962836,0.467571639883255,0.233636562792176,0.598960357209547,0.32677355445792,0.432841099071319,0.527000444159849,0.441557956176848,-0.095205398201998,0.464315217848971,0.326772662218734,0.529986962055477,0.495592506601304,0.260997080767397,0.316099197093858,0.754656662252374,0.328848102547159,0.467814888260063,0.367369824726821
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"dbs",0.275647940867526,0.59863074667574,0.255293535403053,0.124386035472232,0.377985479610128,0.239591880187171,0.273496283976671,0.233616692342173,0.392815453200634,0.0193964608789843,0.115801804550988,1,0.0513920038472588,0.0688014356996605,0.367958385353561,0.401642473760065,0.145531371571337,0.672281721363927,0.239703004794384,0.426156321598411,0.664136847227373,0.337094658498333,-0.449179232800347,0.32870878797618,0.271126043997674,0.322221364910233,0.0821387149403091,0.0791942511390942,0.238360144701702,0.387959519622995,0,0.333936126072079,0.318625881620043
