method,measure,dimension,nclusters,score,ari,nmi
mctsne,vrc,2,9,9916.512,0.6198886,0.7141804
lda,vrc,3,4,126831.7,0.477298,0.6126126
lle,vrc,2,3,618335.2,0.1731972,0.4565594
pca,vrc,2,2,5813.602,0.1218442,0.3660761
isomap,vrc,2,2,4459.055,0.1490241,0.3528569
sdae,vrc,2,2,15729.38,0.02944786,0.1135349
pca-scaled,vrc,2,2,3683.961,0.02729286,0.07134218
fa,vrc,2,2,4001.996,0.0001132062,0.01162659
fica,vrc,3,2,3017.068,-2.71E-05,0.00802439
nmf,vrc,3,2,6431.471,-5.53E-05,0.006114805
lda,ss,3,4,0.8246416,0.477298,0.6126126
lle,ss,2,3,0.9846898,0.1731972,0.4565594
isomap,ss,2,2,0.5197428,0.1490241,0.3528569
pca-scaled,ss,2,2,0.9135279,0.0005526603,0.01905891
fica,ss,10,2,0.9702771,0.0001378867,0.0168015
pca,ss,2,2,0.8197945,-0.0004734811,0.01418404
sdae,ss,2,2,0.8359234,0.0001571298,0.01361767
fa,ss,3,2,0.9761691,9.09E-05,0.009513152
mctsne,ss,100,6,0.8971929,0.0001714779,0.006837695
nmf,ss,3,2,0.97567,-5.53E-05,0.006114805
lda,db,2,3,0.2391747,0.201591,0.4649262
fa,db,100,2,0.1853693,0.06985727,0.1015648
nmf,db,100,2,0.1406935,0.04263767,0.08803167
pca-scaled,db,100,2,0.3186074,0.01610508,0.05758593
fica,db,80,2,0.2268032,0.02067137,0.05512703
pca,db,35,2,0.3098339,0.02172964,0.05330469
lle,db,35,2,0.2264016,0.0003175218,0.0300831
isomap,db,2,10,0.002065765,0.0001198726,0.01745697
sdae,db,100,2,0.1693131,0.0001517091,0.009318697
mctsne,db,100,6,0.0004075882,0.0001714779,0.006837695
