"","dataset","protocol","species","tissue.type","n_samples","n_genes","n_classes","max_class_perc","min_class_perc","tpm","read.type"
"1","baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,0,"UMIs"
"2","baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,0,"UMIs"
"3","campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,0,"UMIs"
"4","chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,0,"UMIs"
"5","darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,0,"Reads"
"6","deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,0,"Reads"
"7","deng-rpkms","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,1,"Reads"
"8","fan","SUPeR-seq","mouse","embryo",66,26357,6,0.3333333,0.1060606,1,"Reads"
"9","goolam","Smart-Seq2","mouse","embryo",124,41480,5,0.516129,0.0483871,0,"Reads"
"10","klein","inDrop","mouse","embryo stem cells",2717,24175,4,0.3433934,0.1115201,0,"UMIs"
"11","lake","C1","human","brain",3042,25051,16,0.3477975,0.0147929,1,"Reads"
"12","li","SMARTer","human","colorectal tumor",561,55186,9,0.171123,0.04099822,0,"Reads"
"13","manno_human","STRT-Seq UMI","human","brain",4029,20560,56,0.06999255,0.001241003,0,"UMIs"
"14","manno_mouse","STRT-Seq UMI","mouse","brain",2150,24378,32,0.1809302,0.005581395,0,"UMIs"
"15","marques","C1","mosue","brain",5053,23556,13,0.1824659,0.01504057,0,"Reads"
"16","muraro","CEL-Seq2","human","pancreas",2126,19127,10,0.3819379,0.001411101,1,"UMIs"
"17","pollen","SMARTer","human","Neonatal-foreskin?",301,23730,11,0.179402,0.02325581,1,"Reads"
"18","romanov","C1","mouse","brain",2881,24341,7,0.3474488,0.01666088,0,"Reads"
"19","segerstolpe","Smart-Seq2","human ","pancreas",3514,25525,15,0.3713717,0.000569152,0,"Reads"
"20","shekhar","Drop-seq","mouse","retina",27499,13166,6,0.8543583,0.001745518,0,"UMIs"
"21","TabulaMuris_Bladder_10X","chromium","mouse","bladder",2500,23433,5,0.4744,0,0,"UMIs"
